Hà Giang,20:33 16/10/2022,20°,Mây rải rác,16°,29°,76%,10 km,2.05 km/giờ,15 °C,0,Kém,Đã cập nhật 1 phút trước
Cao Bằng,20:33 16/10/2022,21°,Mây cụm,17°,29°,69%,10 km,2.34 km/giờ,15 °C,0,Rất kém,Đã cập nhật 1 phút trước
Bắc Kạn,20:33 16/10/2022,21°,Nhiều mây,16°,30°,74%,10 km,1.68 km/giờ,16 °C,0,Rất kém,Đã cập nhật 4 phút trước
Tuyên Quang,20:33 16/10/2022,22°,Nhiều mây,17°,31°,68%,10 km,1.58 km/giờ,16 °C,0,Rất kém,Đã cập nhật 5 phút trước
Thái Nguyên,20:33 16/10/2022,26°,Nhiều mây,19°,31°,59%,10 km,2.34 km/giờ,17 °C,0,Rất kém,Đã cập nhật 8 phút trước
Lạng Sơn,20:33 16/10/2022,22°,Nhiều mây,16°,29°,63%,10 km,2.72 km/giờ,15 °C,0,Rất kém,Đã cập nhật 9 phút trước
Quảng Ninh,20:33 16/10/2022,22°,Nhiều mây,19°,31°,61%,10 km,1.47 km/giờ,14 °C,0,Rất kém,Đã cập nhật 6 phút trước
Bắc Giang,20:33 16/10/2022,26°,Nhiều mây,20°,31°,53%,10 km,3.92 km/giờ,17 °C,0,Rất kém,Đã cập nhật 12 phút trước
Phú Thọ,20:33 16/10/2022,24°,Mây cụm,18°,31°,60%,10 km,1.32 km/giờ,16 °C,0,Rất kém,Đã cập nhật 5 phút trước
Lào Cai,20:33 16/10/2022,23°,Bầu trời quang đãng,18°,31°,67%,10 km,0.91 km/giờ,16 °C,0,Rất kém,Đã cập nhật 10 phút trước
Điện Biên,20:33 16/10/2022,21°,Mây cụm,15°,30°,77%,10 km,1.37 km/giờ,17 °C,0,Rất kém,Đã cập nhật 6 phút trước
Lai Châu,20:33 16/10/2022,21°,Mây thưa,17°,29°,76%,10 km,1.34 km/giờ,17 °C,0,Kém,Đã cập nhật 4 phút trước
Sơn La,20:33 16/10/2022,19°,Nhiều mây,15°,27°,79%,10 km,1.17 km/giờ,16 °C,0,Rất kém,Đã cập nhật 13 phút trước
Yên Bái,20:33 16/10/2022,25°,Nhiều mây,20°,30°,65%,10 km,0.92 km/giờ,18 °C,0,Rất kém,Đã cập nhật 13 phút trước
Hoà Bình,20:33 16/10/2022,24°,Mây rải rác,19°,30°,66%,10 km,0.47 km/giờ,17 °C,0,Rất kém,Đã cập nhật 14 phút trước
Hà Nội,20:33 16/10/2022,26°,Bầu trời quang đãng,20°,32°,61%,10 km,2.57 km/giờ,18 °C,0,Rất kém,Đã cập nhật 17 phút trước
Vĩnh Phúc,20:33 16/10/2022,26°,Mây cụm,19°,31°,56%,10 km,1.9 km/giờ,16 °C,0,Rất kém,Đã cập nhật 14 phút trước
Bắc Ninh,20:33 16/10/2022,26°,Nhiều mây,20°,32°,53%,10 km,4.04 km/giờ,16 °C,0,Rất kém,Đã cập nhật 14 phút trước
Hải Dương,20:33 16/10/2022,27°,Nhiều mây,20°,31°,57%,10 km,3.44 km/giờ,18 °C,0,Rất kém,Đã cập nhật 14 phút trước
Hải Phòng,20:33 16/10/2022,27°,Bầu trời quang đãng,19°,31°,47%,10 km,2.06 km/giờ,15 °C,0,Rất kém,Đã cập nhật 9 phút trước
Hưng Yên,20:33 16/10/2022,24°,Nhiều mây,21°,31°,59%,10 km,2.91 km/giờ,15 °C,0,Rất kém,Đã cập nhật 8 phút trước
Thái Bình,20:33 16/10/2022,24°,Nhiều mây,21°,30°,59%,10 km,2.61 km/giờ,16 °C,0,Rất kém,Đã cập nhật 12 phút trước
Hà Nam,20:33 16/10/2022,24°,Nhiều mây,21°,31°,60%,10 km,2.55 km/giờ,16 °C,0,Rất kém,Đã cập nhật 8 phút trước
Nam Định,20:34 16/10/2022,24°,Nhiều mây,21°,31°,60%,10 km,2.75 km/giờ,16 °C,0,Rất kém,Đã cập nhật 8 phút trước
