Hà Giang,14:29 26/10/2022,28°,Mây cụm,21°,28°,62%,10 km,1.16 km/giờ,20 °C,4.43,Kém
Cao Bằng,14:29 26/10/2022,29°,Nhiều mây,21°,29°,61%,10 km,2.95 km/giờ,20 °C,0,Kém
Bắc Kạn,14:29 26/10/2022,28°,Nhiều mây,20°,29°,64%,10 km,1.43 km/giờ,20 °C,0,Khá
Tuyên Quang,14:29 26/10/2022,29°,Mây cụm,22°,29°,57%,10 km,1.54 km/giờ,20 °C,3.61,Rất kém
Thái Nguyên,14:29 26/10/2022,28°,Mây cụm,21°,30°,61%,10 km,1.99 km/giờ,20 °C,3.17,Khá
Lạng Sơn,14:29 26/10/2022,28°,Mây cụm,19°,30°,63%,10 km,2.61 km/giờ,20 °C,0,Khá
Quảng Ninh,14:29 26/10/2022,26°,Mây cụm,20°,28°,72%,10 km,3.01 km/giờ,21 °C,4.43,Khá
Bắc Giang,14:29 26/10/2022,28°,Mây cụm,21°,31°,60%,10 km,2.2 km/giờ,19 °C,0,Kém
Phú Thọ,14:29 26/10/2022,29°,Mây cụm,21°,30°,60%,10 km,2.2 km/giờ,21 °C,0,Kém
Lào Cai,14:29 26/10/2022,28°,Nhiều mây,22°,28°,65%,10 km,1.09 km/giờ,21 °C,0,Rất kém
Điện Biên,14:29 26/10/2022,28°,Nhiều mây,21°,32°,61%,10 km,1.06 km/giờ,20 °C,5.53,Khá
Lai Châu,14:29 26/10/2022,29°,Mây rải rác,21°,30°,62%,10 km,1.37 km/giờ,21 °C,5.05,Khá
Sơn La,14:29 26/10/2022,28°,Mây cụm,19°,29°,60%,10 km,1.42 km/giờ,19 °C,0,Kém
Yên Bái,14:29 26/10/2022,28°,Nhiều mây,22°,29°,61%,10 km,1.39 km/giờ,20 °C,0,Kém
Hoà Bình,14:29 26/10/2022,30°,Nhiều mây,21°,30°,63%,10 km,1.73 km/giờ,22 °C,0,Kém
Hà Nội,14:29 26/10/2022,28°,Mây cụm,21°,30°,69%,6 km,1.54 km/giờ,22 °C,0,Kém
Vĩnh Phúc,14:29 26/10/2022,28°,Mây rải rác,21°,29°,61%,10 km,2.37 km/giờ,20 °C,0,Rất kém
Bắc Ninh,14:29 26/10/2022,28°,Mây cụm,21°,31°,60%,10 km,2.16 km/giờ,19 °C,0,Kém
Hải Dương,14:29 26/10/2022,27°,Nhiều mây,21°,30°,67%,10 km,3.32 km/giờ,20 °C,2.39,Kém
Hải Phòng,14:29 26/10/2022,27°,Nhiều mây,21°,29°,74%,10 km,4.12 km/giờ,22 °C,0,Khá
Hưng Yên,14:29 26/10/2022,28°,Nhiều mây,21°,29°,70%,10 km,2.75 km/giờ,22 °C,0,Kém
Thái Bình,14:29 26/10/2022,27°,Nhiều mây,22°,28°,74%,10 km,5.42 km/giờ,22 °C,1.59,Khá
Hà Nam,14:29 26/10/2022,28°,Nhiều mây,21°,29°,70%,10 km,2.39 km/giờ,22 °C,0,Kém
Nam Định,14:29 26/10/2022,27°,Nhiều mây,22°,29°,73%,10 km,4.32 km/giờ,22 °C,0,Trung bình
Ninh Bình,14:29 26/10/2022,27°,Nhiều mây,21°,29°,73%,10 km,3.71 km/giờ,22 °C,0,Kém
Thanh Hóa,14:29 26/10/2022,26°,Nhiều mây,22°,28°,82%,9.65 km,2.44 km/giờ,23 °C,0,Khá
Nghệ An,14:29 26/10/2022,24°,Nhiều mây,23°,27°,86%,10 km,3.67 km/giờ,22 °C,4.17,Tốt
Hà Tĩnh,14:29 26/10/2022,25°,Nhiều mây,23°,27°,88%,10 km,3.73 km/giờ,23 °C,4.41,Khá
Quảng Bình,14:29 26/10/2022,26°,Nhiều mây,23°,28°,89%,10 km,2.42 km/giờ,24 °C,3.03,Khá
Quảng Trị,14:29 26/10/2022,27°,Mây rải rác,22°,28°,81%,10 km,5.61 km/giờ,23 °C,5.05,Trung bình
Thừa Thiên Huế,14:29 26/10/2022,28°,Mây rải rác,22°,29°,74%,10 km,5.14 km/giờ,24 °C,0,Trung bình
Đà Nẵng,14:29 26/10/2022,29°,Mây cụm,24°,29°,70%,10 km,4.63 km/giờ,23 °C,0,Trung bình
Quảng Nam,14:29 26/10/2022,26°,Nhiều mây,23°,28°,90%,7.43 km,4.05 km/giờ,24 °C,3.02,Khá
Quảng Ngãi,14:29 26/10/2022,25°,Nhiều mây,23°,28°,93%,6.53 km,3.6 km/giờ,24 °C,0,Tốt
Bình Định,14:29 26/10/2022,27°,Nhiều mây,24°,27°,86%,7.2 km,3.74 km/giờ,24 °C,0,Tốt
Phú Yên,14:29 26/10/2022,26°,Nhiều mây,21°,26°,85%,10 km,2.79 km/giờ,23 °C,0,Tốt
Khánh Hòa,14:29 26/10/2022,31°,Nhiều mây,22°,31°,82%,10 km,2.44 km/giờ,27 °C,0,Tốt
Ninh Thuận,14:29 26/10/2022,30°,Nhiều mây,24°,30°,68%,10 km,5.62 km/giờ,23 °C,5.93,Tốt
Bình Thuận,14:29 26/10/2022,28°,Nhiều mây,22°,30°,78%,10 km,2.66 km/giờ,24 °C,5.92,Tốt
Kon Tum,14:29 26/10/2022,23°,Nhiều mây,18°,28°,96%,10 km,0.73 km/giờ,22 °C,0,Tốt
Gia Lai,14:29 26/10/2022,23°,Nhiều mây,19°,25°,95%,7.3 km,2.33 km/giờ,23 °C,0.35,Tốt
Đắk Lắk,14:29 26/10/2022,26°,Nhiều mây,19°,26°,74%,10 km,3.35 km/giờ,21 °C,0,Tốt
Đắk Nông,14:29 26/10/2022,26°,Nhiều mây,19°,26°,74%,10 km,3.35 km/giờ,21 °C,0,Tốt
Lâm Đồng,14:29 26/10/2022,25°,Nhiều mây,18°,28°,80%,10 km,1.01 km/giờ,22 °C,0,Tốt
Bình Phước,14:29 26/10/2022,29°,Nhiều mây,21°,32°,75%,7.66 km,1.32 km/giờ,25 °C,0,Tốt
Tây Ninh,14:29 26/10/2022,31°,Nhiều mây,23°,31°,63%,10 km,0.5 km/giờ,23 °C,0,Khá
Bình Dương,14:29 26/10/2022,32°,Mây rải rác,24°,32°,70%,10 km,3.09 km/giờ,26 °C,6.25,Kém
Đồng Nai,14:29 26/10/2022,32°,Nhiều mây,24°,33°,69%,10 km,1.43 km/giờ,27 °C,6.25,Kém
Bà Rịa - Vũng Tàu,14:29 26/10/2022,29°,Nhiều mây,23°,30°,76%,10 km,4.07 km/giờ,24 °C,6.23,Tốt
Hồ Chí Minh,14:29 26/10/2022,33°,Mây rải rác,24°,32°,66%,10 km,1.54 km/giờ,26 °C,0,Rất kém
Long An,14:29 26/10/2022,31°,Nhiều mây,24°,31°,69%,10 km,3.62 km/giờ,24 °C,0,Khá
Tiền Giang,14:29 26/10/2022,30°,Nhiều mây,24°,31°,68%,10 km,3.95 km/giờ,24 °C,0,Khá
Bến Tre,14:29 26/10/2022,30°,Nhiều mây,24°,31°,65%,10 km,4.08 km/giờ,23 °C,0,Khá
Trà Vinh,14:29 26/10/2022,30°,Nhiều mây,24°,31°,71%,10 km,4.95 km/giờ,24 °C,6.65,Tốt
Vĩnh Long,14:29 26/10/2022,31°,Nhiều mây,24°,31°,63%,10 km,4.72 km/giờ,22 °C,0,Khá
Đồng Tháp,14:29 26/10/2022,31°,Nhiều mây,25°,31°,63%,10 km,4.29 km/giờ,22 °C,5.74,Khá
An Giang,14:29 26/10/2022,31°,Nhiều mây,25°,31°,63%,10 km,4.22 km/giờ,22 °C,0,Khá
Kiên Giang,14:29 26/10/2022,30°,Mưa vừa,25°,30°,69%,10 km,3.13 km/giờ,24 °C,0,Khá
Cần Thơ,14:29 26/10/2022,30°,Mây cụm,24°,30°,79%,10 km,1.54 km/giờ,26 °C,0,Khá
Hậu Giang,14:29 26/10/2022,31°,Nhiều mây,24°,31°,73%,10 km,4.14 km/giờ,26 °C,0,Khá
Sóc Trăng,14:29 26/10/2022,29°,Nhiều mây,24°,30°,77%,10 km,4.74 km/giờ,25 °C,0,Tốt
Bạc Liêu,14:29 26/10/2022,29°,Nhiều mây,25°,29°,78%,10 km,4.9 km/giờ,24 °C,0,Khá
