1, Hà Giang, 21, Mây cụm, 15, 28, 0.7, 10.0, 0.45, 15, 0.0, Rất kém
2, Cao Bằng, 19, Bầu trời quang đãng, 14, 28, 0.73, 10.0, 1.24, 14, 0.0, Rất kém
3, Bắc Kạn, 20, Bầu trời quang đãng, 15, 29, 0.73, 10.0, 1.44, 15, 0.0, Rất kém
4, Tuyên Quang, 21, Bầu trời quang đãng, 16, 30, 0.7, 10.0, 0.81, 15, 0.0, Rất kém
5, Thái Nguyên, 24, Bầu trời quang đãng, 17, 30, 0.58, 10.0, 1.38, 16, 0.0, Rất kém
6, Lạng Sơn, 20, Bầu trời quang đãng, 14, 28, 0.63, 10.0, 1.4, 13, 0.0, Rất kém
7, Quảng Ninh, 21, Bầu trời quang đãng, 18, 28, 0.76, 10.0, 0.97, 17, 0.0, Rất kém
8, Bắc Giang, 24, Bầu trời quang đãng, 18, 29, 0.61, 10.0, 2.35, 17, 0.0, Rất kém
9, Phú Thọ, 23, Bầu trời quang đãng, 18, 29, 0.62, 10.0, 0.48, 15, 0.0, Rất kém
10, Lào Cai, 22, Mây rải rác, 17, 29, 0.68, 10.0, 0.47, 16, 0.0, Rất kém
11, Điện Biên, 19, Bầu trời quang đãng, 14, 30, 0.74, 10.0, 1.54, 14, 0.0, Rất kém
12, Lai Châu, 22, Nhiều mây, 17, 29, 0.66, 10.0, 1.06, 15, 0.0, Kém
13, Sơn La, 18, Bầu trời quang đãng, 13, 26, 0.76, 10.0, 1.22, 13, 0.0, Kém
14, Yên Bái, 22, Bầu trời quang đãng, 18, 28, 0.64, 10.0, 0.79, 15, 0.0, Rất kém
15, Hoà Bình, 22, Mây thưa, 18, 28, 0.68, 10.0, 0.73, 16, 0.0, Rất kém
16, Hà Nội, 24, Sương mờ, 19, 29, 0.69, 5.0, 1.54, 18, 0.0, Rất kém
17, Vĩnh Phúc, 24, Bầu trời quang đãng, 19, 29, 0.54, 10.0, 1.25, 14, 0.0, Rất kém
18, Bắc Ninh, 24, Bầu trời quang đãng, 18, 29, 0.6, 10.0, 3.18, 17, 0.0, Rất kém
19, Hải Dương, 25, Bầu trời quang đãng, 19, 29, 0.66, 10.0, 2.76, 18, 0.0, Rất kém
20, Hải Phòng, 25, Bầu trời quang đãng, 19, 28, 0.73, 10.0, 2.57, 19, 0.0, Rất kém
21, Hưng Yên, 23, Bầu trời quang đãng, 20, 29, 0.71, 10.0, 2.45, 18, 0.0, Rất kém
22, Thái Bình, 24, Bầu trời quang đãng, 21, 28, 0.64, 10.0, 3.86, 17, 0.0, Rất kém
23, Hà Nam, 23, Bầu trời quang đãng, 20, 29, 0.7, 10.0, 2.17, 17, 0.0, Rất kém
24, Nam Định, 24, Bầu trời quang đãng, 21, 29, 0.68, 10.0, 2.83, 18, 0.0, Rất kém
25, Ninh Bình, 23, Bầu trời quang đãng, 21, 29, 0.75, 10.0, 1.87, 19, 0.0, Rất kém
26, Thanh Hóa, 22, Bầu trời quang đãng, 20, 28, 0.8, 10.0, 1.81, 19, 0.0, Rất kém
27, Nghệ An, 23, Bầu trời quang đãng, 20, 26, 0.76, 10.0, 1.28, 18, 0.0, Rất kém
28, Hà Tĩnh, 22, Bầu trời quang đãng, 20, 26, 0.81, 10.0, 0.55, 18, 0.0, Rất kém
29, Quảng Bình, 21, Mây rải rác, 20, 26, 0.91, 10.0, 1.15, 19, 0.0, Rất kém
30, Quảng Trị, 22, Mây rải rác, 20, 26, 0.9, 10.0, 1.08, 20, 0.0, Rất kém
31, Thừa Thiên Huế, 25, Mây rải rác, 21, 27, 0.78, 10.0, 3.09, 21, 0.0, Rất kém
32, Đà Nẵng, 25, Mây thưa, 22, 27, 0.83, 10.0, 4.12, 21, 0.0, Rất kém
33, Quảng Nam, 23, Bầu trời quang đãng, 20, 27, 0.86, 10.0, 1.91, 20, 0.0, Rất kém
34, Quảng Ngãi, 23, Mây rải rác, 21, 28, 0.85, 10.0, 1.54, 20, 0.0, Rất kém
35, Bình Định, 24, Mây cụm, 23, 27, 0.84, 10.0, 3.99, 21, 0.0, Rất kém
36, Phú Yên, 21, Mây cụm, 20, 28, 0.94, 10.0, 1.27, 20, 0.0, Rất kém
37, Khánh Hòa, 24, Nhiều mây, 22, 30, 0.91, 10.0, 1.14, 22, 0.0, Rất kém
38, Ninh Thuận, 24, Mây cụm, 22, 31, 0.85, 10.0, 3.21, 21, 0.0, Kém
39, Bình Thuận, 22, Nhiều mây, 21, 30, 0.92, 10.0, 1.14, 21, 0.0, Kém
40, Kon Tum, 21, Nhiều mây, 18, 29, 0.86, 10.0, 1.35, 18, 0.0, Kém
41, Gia Lai, 20, Nhiều mây, 18, 27, 0.96, 10.0, 1.4, 19, 0.0, Rất kém
42, Đắk Lắk, 20, Mây cụm, 18, 28, 0.85, 10.0, 3.82, 17, 0.0, Kém
43, Đắk Nông, 20, Mây cụm, 18, 28, 0.85, 10.0, 3.82, 17, 0.0, Kém
44, Lâm Đồng, 19, Nhiều mây, 17, 28, 0.99, 10.0, 1.27, 19, 0.0, Kém
45, Bình Phước, 23, Nhiều mây, 21, 30, 0.98, 10.0, 1.11, 22, 0.0, Khá
46, Tây Ninh, 24, Nhiều mây, 22, 28, 0.92, 10.0, 1.49, 23, 0.0, Rất kém
47, Bình Dương, 26, Mây cụm, 22, 30, 0.94, 8.0, 2.57, 25, 0.0, Rất kém
48, Đồng Nai, 26, Nhiều mây, 22, 30, 0.9, 10.0, 0.85, 25, 0.0, Rất kém
