1, Hà Giang, 21°, Mây cụm, 15°, 28°, 28°, 10 km, 0.45 km/giờ, 15 °C, 0, Rất kém
2, Cao Bằng, 19°, Bầu trời quang đãng, 14°, 28°, 28°, 10 km, 1.24 km/giờ, 14 °C, 0, Rất kém
3, Bắc Kạn, 20°, Bầu trời quang đãng, 15°, 29°, 29°, 10 km, 1.44 km/giờ, 15 °C, 0, Rất kém
4, Tuyên Quang, 21°, Bầu trời quang đãng, 16°, 30°, 30°, 10 km, 0.81 km/giờ, 15 °C, 0, Rất kém
5, Thái Nguyên, 24°, Bầu trời quang đãng, 17°, 30°, 30°, 10 km, 1.38 km/giờ, 16 °C, 0, Rất kém
6, Lạng Sơn, 20°, Bầu trời quang đãng, 14°, 28°, 28°, 10 km, 1.4 km/giờ, 13 °C, 0, Rất kém
7, Quảng Ninh, 21°, Bầu trời quang đãng, 18°, 28°, 28°, 10 km, 0.97 km/giờ, 17 °C, 0, Rất kém
8, Bắc Giang, 24°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 2.35 km/giờ, 17 °C, 0, Rất kém
9, Phú Thọ, 23°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 0.48 km/giờ, 15 °C, 0, Rất kém
10, Lào Cai, 22°, Mây rải rác, 17°, 29°, 29°, 10 km, 0.47 km/giờ, 16 °C, 0, Rất kém
11, Điện Biên, 19°, Bầu trời quang đãng, 14°, 30°, 30°, 10 km, 1.54 km/giờ, 14 °C, 0, Rất kém
12, Lai Châu, 22°, Nhiều mây, 17°, 29°, 29°, 10 km, 1.06 km/giờ, 15 °C, 0, Kém
13, Sơn La, 18°, Bầu trời quang đãng, 13°, 26°, 26°, 10 km, 1.22 km/giờ, 13 °C, 0, Kém
14, Yên Bái, 22°, Bầu trời quang đãng, 18°, 28°, 28°, 10 km, 0.79 km/giờ, 15 °C, 0, Rất kém
15, Hoà Bình, 22°, Mây thưa, 18°, 28°, 28°, 10 km, 0.73 km/giờ, 16 °C, 0, Rất kém
16, Hà Nội, 24°, Sương mờ, 19°, 29°, 29°, 5 km, 1.54 km/giờ, 18 °C, 0, Rất kém
