1, Hà Giang, 26°, Mây rải rác, 16°, 28°, 28°, 10 km, 1.22 km/giờ, 16 °C, 0, Rất kém
2, Cao Bằng, 26°, Bầu trời quang đãng, 16°, 29°, 29°, 10 km, 1 km/giờ, 14 °C, 6.76, Rất kém
3, Bắc Kạn, 27°, Bầu trời quang đãng, 17°, 29°, 29°, 10 km, 0.23 km/giờ, 14 °C, 0, Rất kém
4, Tuyên Quang, 27°, Bầu trời quang đãng, 17°, 29°, 29°, 10 km, 0.56 km/giờ, 15 °C, 0, Rất kém
5, Thái Nguyên, 25°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 0.48 km/giờ, 14 °C, 0, Rất kém
6, Lạng Sơn, 25°, Bầu trời quang đãng, 16°, 29°, 29°, 10 km, 1.8 km/giờ, 14 °C, 0, Rất kém
7, Quảng Ninh, 27°, Bầu trời quang đãng, 18°, 28°, 28°, 10 km, 1.7 km/giờ, 14 °C, 0, Rất kém
8, Bắc Giang, 25°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 1.86 km/giờ, 14 °C, 6.78, Rất kém
9, Phú Thọ, 27°, Mây rải rác, 18°, 29°, 29°, 10 km, 0.73 km/giờ, 17 °C, 6.52, Rất kém
10, Lào Cai, 27°, Bầu trời quang đãng, 17°, 29°, 29°, 10 km, 1.41 km/giờ, 16 °C, 0, Rất kém
11, Điện Biên, 28°, Bầu trời quang đãng, 15°, 30°, 30°, 10 km, 0.3 km/giờ, 14 °C, 6.94, Rất kém
12, Lai Châu, 27°, Mây rải rác, 17°, 29°, 29°, 10 km, 0.83 km/giờ, 16 °C, 0, Rất kém
13, Sơn La, 25°, Bầu trời quang đãng, 14°, 27°, 27°, 10 km, 1.07 km/giờ, 14 °C, 0, Rất kém
14, Yên Bái, 26°, Bầu trời quang đãng, 18°, 27°, 27°, 10 km, 1.04 km/giờ, 17 °C, 6.7, Rất kém
15, Hoà Bình, 27°, Mây thưa, 18°, 29°, 29°, 10 km, 1.3 km/giờ, 17 °C, 0, Rất kém
16, Hà Nội, 25°, Đám mây, 20°, 29°, 29°, 5 km, 1.54 km/giờ, 19 °C, 0, Rất kém
17, Vĩnh Phúc, 25°, Mây rải rác, 19°, 29°, 29°, 10 km, 0.85 km/giờ, 16 °C, 0, Rất kém
18, Bắc Ninh, 25°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 1.47 km/giờ, 14 °C, 0, Rất kém
19, Hải Dương, 26°, Bầu trời quang đãng, 19°, 30°, 30°, 10 km, 2.73 km/giờ, 13 °C, 0, Rất kém
20, Hải Phòng, 26°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 2.06 km/giờ, 17 °C, 0, Rất kém
21, Hưng Yên, 27°, Bầu trời quang đãng, 20°, 30°, 30°, 10 km, 1.82 km/giờ, 15 °C, 6.86, Rất kém
22, Thái Bình, 26°, Mây thưa, 21°, 28°, 28°, 10 km, 3.04 km/giờ, 15 °C, 0, Rất kém
23, Hà Nam, 27°, Mây thưa, 21°, 30°, 30°, 10 km, 1.75 km/giờ, 16 °C, 6.75, Rất kém
24, Nam Định, 27°, Mây thưa, 21°, 29°, 29°, 10 km, 2.65 km/giờ, 15 °C, 0, Rất kém
25, Ninh Bình, 26°, Mây rải rác, 21°, 29°, 29°, 10 km, 2.97 km/giờ, 16 °C, 0, Rất kém
26, Thanh Hóa, 26°, Mây thưa, 20°, 29°, 29°, 10 km, 2.42 km/giờ, 17 °C, 0, Rất kém
27, Nghệ An, 25°, Mây thưa, 21°, 26°, 26°, 10 km, 2.54 km/giờ, 19 °C, 0, Rất kém
28, Hà Tĩnh, 25°, Mây rải rác, 21°, 26°, 26°, 10 km, 2.82 km/giờ, 19 °C, 0, Rất kém
29, Quảng Bình, 25°, Mây cụm, 20°, 26°, 26°, 10 km, 2.35 km/giờ, 19 °C, 0, Rất kém
30, Quảng Trị, 25°, Mây cụm, 21°, 27°, 27°, 10 km, 3.87 km/giờ, 21 °C, 0, Kém
31, Thừa Thiên Huế, 27°, Mây rải rác, 21°, 27°, 27°, 10 km, 4.12 km/giờ, 21 °C, 0, Rất kém
32, Đà Nẵng, 29°, Mây thưa, 22°, 29°, 29°, 10 km, 3.09 km/giờ, 20 °C, 0, Kém
33, Quảng Nam, 26°, Mây cụm, 22°, 26°, 26°, 10 km, 3.7 km/giờ, 22 °C, 0, Kém
34, Quảng Ngãi, 26°, Mây cụm, 22°, 28°, 28°, 10 km, 4.95 km/giờ, 22 °C, 2.62, Kém
35, Bình Định, 27°, Mây cụm, 22°, 27°, 27°, 10 km, 6.47 km/giờ, 22 °C, 5.77, Rất kém
36, Phú Yên, 27°, Mây cụm, 20°, 28°, 28°, 10 km, 3.25 km/giờ, 20 °C, 7.17, Rất kém
37, Khánh Hòa, 29°, Nhiều mây, 21°, 30°, 30°, 10 km, 2.93 km/giờ, 21 °C, 0, Kém
38, Ninh Thuận, 30°, Mây rải rác, 22°, 31°, 31°, 10 km, 4.22 km/giờ, 21 °C, 0, Kém
39, Bình Thuận, 29°, Nhiều mây, 21°, 32°, 32°, 10 km, 1.82 km/giờ, 21 °C, 9.54, Trung bình
40, Kon Tum, 28°, Mây thưa, 18°, 29°, 29°, 10 km, 0.61 km/giờ, 19 °C, 8.88, Khá
41, Gia Lai, 25°, Mây cụm, 18°, 27°, 27°, 10 km, 3.21 km/giờ, 20 °C, 6.66, Tốt
42, Đắk Lắk, 27°, Mây cụm, 19°, 28°, 28°, 10 km, 3.39 km/giờ, 18 °C, 0, Trung bình
43, Đắk Nông, 27°, Mây cụm, 19°, 28°, 28°, 10 km, 3.39 km/giờ, 18 °C, 0, Trung bình
44, Lâm Đồng, 27°, Nhiều mây, 17°, 29°, 29°, 10 km, 1.68 km/giờ, 16 °C, 0, Khá
45, Bình Phước, 30°, Mây cụm, 20°, 32°, 32°, 10 km, 0.4 km/giờ, 20 °C, 0, Khá
46, Tây Ninh, 28°, Mây cụm, 23°, 31°, 31°, 10 km, 2.62 km/giờ, 22 °C, 7.86, Kém
47, Bình Dương, 31°, Mây thưa, 23°, 31°, 31°, 10 km, 2.06 km/giờ, 25 °C, 7.44, Trung bình
48, Đồng Nai, 31°, Nhiều mây, 23°, 31°, 31°, 10 km, 1.98 km/giờ, 25 °C, 0, Trung bình
49, Bà Rịa - Vũng Tàu, 29°, Nhiều mây, 22°, 32°, 32°, 10 km, 1.45 km/giờ, 22 °C, 0, Khá
50, Hồ Chí Minh, 31°, Mây thưa, 23°, 31°, 31°, 10 km, 2.06 km/giờ, 24 °C, 0, Kém
51, Long An, 28°, Nhiều mây, 23°, 31°, 31°, 10 km, 2.8 km/giờ, 23 °C, 0, Kém
