1, Hà Giang, 27°, Mây rải rác, 16°, 28°, 28°, 10 km, 1.38 km/giờ, 15 °C, 3.1, Rất kém
2, Cao Bằng, 28°, Bầu trời quang đãng, 16°, 30°, 30°, 10 km, 1.35 km/giờ, 14 °C, 0, Rất kém
3, Bắc Kạn, 29°, Mây rải rác, 17°, 29°, 29°, 10 km, 0.67 km/giờ, 14 °C, 0, Rất kém
4, Tuyên Quang, 29°, Bầu trời quang đãng, 17°, 30°, 30°, 10 km, 1 km/giờ, 15 °C, 0, Rất kém
5, Thái Nguyên, 28°, Mây thưa, 18°, 29°, 29°, 10 km, 1.08 km/giờ, 15 °C, 0, Rất kém
6, Lạng Sơn, 27°, Bầu trời quang đãng, 16°, 29°, 29°, 10 km, 1.33 km/giờ, 13 °C, 4.63, Rất kém
7, Quảng Ninh, 26°, Bầu trời quang đãng, 18°, 27°, 27°, 10 km, 3.38 km/giờ, 15 °C, 4.68, Rất kém
8, Bắc Giang, 28°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 1.24 km/giờ, 13 °C, 0, Rất kém
9, Phú Thọ, 28°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 1.75 km/giờ, 16 °C, 4.83, Rất kém
10, Lào Cai, 28°, Mây rải rác, 17°, 28°, 28°, 10 km, 1.55 km/giờ, 16 °C, 4.02, Rất kém
11, Điện Biên, 30°, Bầu trời quang đãng, 15°, 30°, 30°, 10 km, 0.75 km/giờ, 13 °C, 0, Rất kém
12, Lai Châu, 28°, Mây thưa, 17°, 29°, 29°, 10 km, 0.86 km/giờ, 16 °C, 0, Rất kém
13, Sơn La, 26°, Mây thưa, 14°, 27°, 27°, 10 km, 1.19 km/giờ, 14 °C, 0, Rất kém
14, Yên Bái, 27°, Bầu trời quang đãng, 18°, 27°, 27°, 10 km, 1.16 km/giờ, 16 °C, 0, Rất kém
15, Hoà Bình, 28°, Mây rải rác, 18°, 29°, 29°, 10 km, 1.82 km/giờ, 17 °C, 4.98, Rất kém
