1, Hà Giang, 18°, Mây cụm, 16°, 28°, 28°, 10 km, 0.65 km/giờ, 16 °C, 0, Rất kém
2, Cao Bằng, 18°, Mây cụm, 16°, 30°, 30°, 10 km, 0.84 km/giờ, 13 °C, 0, Rất kém
3, Bắc Kạn, 18°, Mây rải rác, 16°, 30°, 30°, 10 km, 0.61 km/giờ, 16 °C, 0, Rất kém
4, Tuyên Quang, 19°, Bầu trời quang đãng, 17°, 30°, 30°, 10 km, 0.35 km/giờ, 16 °C, 0, Rất kém
5, Thái Nguyên, 22°, Bầu trời quang đãng, 18°, 30°, 30°, 10 km, 0.98 km/giờ, 19 °C, 0, Rất kém
6, Lạng Sơn, 17°, Bầu trời quang đãng, 16°, 29°, 29°, 10 km, 0.83 km/giờ, 15 °C, 0, Rất kém
7, Quảng Ninh, 18°, Bầu trời quang đãng, 18°, 27°, 27°, 10 km, 0.71 km/giờ, 18 °C, 0, Rất kém
8, Bắc Giang, 22°, Bầu trời quang đãng, 18°, 30°, 30°, 10 km, 0.63 km/giờ, 19 °C, 0, Rất kém
9, Phú Thọ, 19°, Bầu trời quang đãng, 18°, 30°, 30°, 10 km, 1.31 km/giờ, 16 °C, 0, Rất kém
10, Lào Cai, 19°, Bầu trời quang đãng, 17°, 29°, 29°, 10 km, 0.51 km/giờ, 17 °C, 0, Rất kém
11, Điện Biên, 17°, Mây rải rác, 15°, 30°, 30°, 10 km, 0.94 km/giờ, 15 °C, 0, Rất kém
12, Lai Châu, 18°, Mây thưa, 16°, 29°, 29°, 10 km, 0.66 km/giờ, 16 °C, 0, Rất kém
13, Sơn La, 16°, Mây rải rác, 14°, 27°, 27°, 10 km, 1.01 km/giờ, 14 °C, 0, Rất kém
14, Yên Bái, 20°, Bầu trời quang đãng, 18°, 28°, 28°, 10 km, 1.15 km/giờ, 16 °C, 0, Rất kém
15, Hoà Bình, 20°, Bầu trời quang đãng, 18°, 29°, 29°, 10 km, 1.36 km/giờ, 17 °C, 0, Rất kém
16, Hà Nội, 22°, Sương mờ, 20°, 30°, 30°, 5 km, 3.09 km/giờ, 19 °C, 0, Rất kém
17, Vĩnh Phúc, 22°, Bầu trời quang đãng, 19°, 30°, 30°, 10 km, 1.89 km/giờ, 19 °C, 0, Rất kém
18, Bắc Ninh, 22°, Bầu trời quang đãng, 19°, 30°, 30°, 10 km, 1.46 km/giờ, 20 °C, 0, Rất kém
19, Hải Dương, 22°, Bầu trời quang đãng, 19°, 30°, 30°, 10 km, 1.52 km/giờ, 20 °C, 0, Rất kém
20, Hải Phòng, 22°, Bầu trời quang đãng, 19°, 29°, 29°, 10 km, 2.06 km/giờ, 19 °C, 0, Rất kém
21, Hưng Yên, 21°, Bầu trời quang đãng, 20°, 30°, 30°, 10 km, 1.06 km/giờ, 18 °C, 0, Rất kém
22, Thái Bình, 22°, Bầu trời quang đãng, 21°, 28°, 28°, 10 km, 1.8 km/giờ, 19 °C, 0, Rất kém
23, Hà Nam, 21°, Bầu trời quang đãng, 20°, 30°, 30°, 10 km, 1 km/giờ, 18 °C, 0, Rất kém
24, Nam Định, 21°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 0.92 km/giờ, 18 °C, 0, Rất kém
25, Ninh Bình, 21°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 0.52 km/giờ, 17 °C, 0, Rất kém
26, Thanh Hóa, 20°, Bầu trời quang đãng, 19°, 28°, 28°, 10 km, 1 km/giờ, 17 °C, 0, Rất kém
27, Nghệ An, 20°, Mây thưa, 20°, 26°, 26°, 10 km, 1.82 km/giờ, 19 °C, 0, Rất kém
28, Hà Tĩnh, 21°, Mây rải rác, 21°, 26°, 26°, 10 km, 1.26 km/giờ, 19 °C, 0, Rất kém
29, Quảng Bình, 20°, Mây rải rác, 20°, 28°, 28°, 10 km, 1.07 km/giờ, 19 °C, 0, Rất kém
30, Quảng Trị, 22°, Mây cụm, 21°, 27°, 27°, 10 km, 1.91 km/giờ, 20 °C, 0, Rất kém
31, Thừa Thiên Huế, 23°, Mây rải rác, 21°, 26°, 26°, 10 km, 1.54 km/giờ, 21 °C, 0, Rất kém
32, Đà Nẵng, 24°, Mây rải rác, 22°, 26°, 26°, 10 km, 0 km/giờ, 20 °C, 0, Kém
33, Quảng Nam, 23°, Nhiều mây, 21°, 26°, 26°, 10 km, 1.76 km/giờ, 21 °C, 0, Kém
34, Quảng Ngãi, 23°, Nhiều mây, 21°, 27°, 27°, 10 km, 2.3 km/giờ, 21 °C, 0, Khá
35, Bình Định, 23°, Mây rải rác, 22°, 27°, 27°, 9.76 km, 4.63 km/giờ, 22 °C, 0, Trung bình
36, Phú Yên, 21°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.57 km/giờ, 20 °C, 0, Trung bình
37, Khánh Hòa, 25°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.99 km/giờ, 24 °C, 0, Kém
38, Ninh Thuận, 23°, Nhiều mây, 23°, 30°, 30°, 10 km, 2.79 km/giờ, 22 °C, 0, Kém
39, Bình Thuận, 22°, Nhiều mây, 21°, 31°, 31°, 10 km, 0.9 km/giờ, 21 °C, 0, Trung bình
40, Kon Tum, 19°, Mây cụm, 17°, 30°, 30°, 10 km, 1.36 km/giờ, 18 °C, 0, Tốt
41, Gia Lai, 20°, Mây cụm, 18°, 27°, 27°, 10 km, 0.89 km/giờ, 19 °C, 0, Tốt
42, Đắk Lắk, 19°, Nhiều mây, 18°, 27°, 27°, 10 km, 2.7 km/giờ, 18 °C, 0, Khá
43, Đắk Nông, 19°, Nhiều mây, 18°, 27°, 27°, 10 km, 2.7 km/giờ, 18 °C, 0, Khá
44, Lâm Đồng, 18°, Nhiều mây, 17°, 29°, 29°, 10 km, 1.58 km/giờ, 17 °C, 0, Kém
45, Bình Phước, 22°, Mưa nhẹ, 20°, 33°, 33°, 9.45 km, 0.64 km/giờ, 22 °C, 0, Trung bình
46, Tây Ninh, 24°, Nhiều mây, 23°, 31°, 31°, 10 km, 2.16 km/giờ, 22 °C, 0, Kém
47, Bình Dương, 25°, Mây cụm, 23°, 30°, 30°, 7 km, 1.03 km/giờ, 24 °C, 0, Rất kém
48, Đồng Nai, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 1.41 km/giờ, 24 °C, 0, Rất kém
49, Bà Rịa - Vũng Tàu, 23°, Nhiều mây, 22°, 31°, 31°, 10 km, 1.02 km/giờ, 22 °C, 0, Rất kém
50, Hồ Chí Minh, 25°, Mây cụm, 23°, 31°, 31°, 7 km, 1.03 km/giờ, 24 °C, 0, Rất kém
51, Long An, 24°, Nhiều mây, 23°, 31°, 31°, 10 km, 1.85 km/giờ, 23 °C, 0, Rất kém
52, Tiền Giang, 24°, Nhiều mây, 23°, 32°, 32°, 10 km, 1.31 km/giờ, 23 °C, 0, Rất kém
53, Bến Tre, 24°, Nhiều mây, 23°, 32°, 32°, 10 km, 1.12 km/giờ, 23 °C, 0, Rất kém
54, Trà Vinh, 25°, Mây cụm, 23°, 32°, 32°, 10 km, 2.51 km/giờ, 23 °C, 0, Rất kém
55, Vĩnh Long, 24°, Nhiều mây, 24°, 32°, 32°, 10 km, 1.31 km/giờ, 23 °C, 0, Rất kém
56, Đồng Tháp, 24°, Nhiều mây, 24°, 31°, 31°, 10 km, 1.47 km/giờ, 23 °C, 0, Rất kém
57, An Giang, 24°, Nhiều mây, 24°, 31°, 31°, 8.16 km, 1.9 km/giờ, 23 °C, 0, Rất kém
58, Kiên Giang, 24°, Nhiều mây, 24°, 31°, 31°, 10 km, 2.53 km/giờ, 23 °C, 0, Kém
59, Cần Thơ, 24°, Mây rải rác, 24°, 32°, 32°, 10 km, 0 km/giờ, 24 °C, 0, Rất kém
60, Hậu Giang, 24°, Nhiều mây, 24°, 31°, 31°, 10 km, 1.72 km/giờ, 23 °C, 0, Rất kém
61, Sóc Trăng, 24°, Nhiều mây, 24°, 31°, 31°, 10 km, 3.13 km/giờ, 23 °C, 0, Rất kém
62, Bạc Liêu, 26°, Nhiều mây, 24°, 30°, 30°, 10 km, 5.39 km/giờ, 23 °C, 0, Rất kém
63, Cà Mau, 24°, Nhiều mây, 23°, 31°, 31°, 10 km, 2.8 km/giờ, 23 °C, 0, Rất kém
