1, Hà Giang, 2022-11-19, 08:03, 22°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.7 km/giờ, 22 °C, 0.43, Kém
2, Cao Bằng, 2022-11-19, 08:03, 23°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.18 km/giờ, 22 °C, 0.2, Kém
3, Bắc Kạn, 2022-11-19, 08:03, 23°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.1 km/giờ, 22 °C, 0, Khá
4, Tuyên Quang, 2022-11-19, 08:03, 23°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.53 km/giờ, 22 °C, 0, Rất kém
5, Thái Nguyên, 2022-11-19, 08:03, 26°, Nhiều mây, 20°, 30°, 30°, 10 km, 0.66 km/giờ, 23 °C, 0.63, Kém
6, Lạng Sơn, 2022-11-19, 08:03, 23°, Nhiều mây, 18°, 30°, 30°, 10 km, 1 km/giờ, 20 °C, 0, Khá
7, Quảng Ninh, 2022-11-19, 08:03, 25°, Mây thưa, 20°, 29°, 29°, 10 km, 2.38 km/giờ, 21 °C, 0.93, Kém
8, Bắc Giang, 2022-11-19, 08:03, 26°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.12 km/giờ, 21 °C, 0, Rất kém
9, Phú Thọ, 2022-11-19, 08:03, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.39 km/giờ, 22 °C, 0, Rất kém
10, Lào Cai, 2022-11-19, 08:03, 24°, Nhiều mây, 22°, 28°, 28°, 8.91 km, 0.32 km/giờ, 23 °C, 0.67, Tốt
11, Điện Biên, 2022-11-19, 08:03, 21°, Nhiều mây, 18°, 29°, 29°, 10 km, 0.34 km/giờ, 21 °C, 0, Tốt
12, Lai Châu, 2022-11-19, 08:03, 23°, Mây cụm, 19°, 29°, 29°, 10 km, 0.25 km/giờ, 21 °C, 0, Tốt
13, Sơn La, 2022-11-19, 08:03, 21°, Nhiều mây, 17°, 26°, 26°, 10 km, 0.63 km/giờ, 20 °C, 0, Khá
14, Yên Bái, 2022-11-19, 08:03, 24°, Nhiều mây, 21°, 28°, 28°, 10 km, 0.95 km/giờ, 23 °C, 0.08, Rất kém
15, Hoà Bình, 2022-11-19, 08:03, 25°, Mây cụm, 21°, 28°, 28°, 10 km, 1.01 km/giờ, 23 °C, 0, Kém
16, Hà Nội, 2022-11-19, 08:03, 26°, Mây cụm, 22°, 30°, 30°, 6 km, 2.06 km/giờ, 23 °C, 0.93, Rất kém
17, Vĩnh Phúc, 2022-11-19, 08:03, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.16 km/giờ, 23 °C, 0.93, Rất kém
