1, Hà Giang, 2022-11-19, 10:11, 23°, Nhiều mây, 20°, 27°, 27°, 8.66 km, 1.05 km/giờ, 22 °C, 0, Khá
2, Cao Bằng, 2022-11-19, 10:11, 23°, Nhiều mây, 19°, 28°, 28°, 10 km, 0.84 km/giờ, 22 °C, 0.98, Khá
3, Bắc Kạn, 2022-11-19, 10:11, 25°, Nhiều mây, 20°, 28°, 28°, 9.75 km, 0.27 km/giờ, 23 °C, 0.47, Trung bình
4, Tuyên Quang, 2022-11-19, 10:11, 23°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.44 km/giờ, 23 °C, 0.47, Trung bình
5, Thái Nguyên, 2022-11-19, 10:11, 27°, Mây cụm, 20°, 30°, 30°, 10 km, 1.82 km/giờ, 21 °C, 0, Kém
6, Lạng Sơn, 2022-11-19, 10:11, 25°, Nhiều mây, 18°, 30°, 30°, 10 km, 1.4 km/giờ, 20 °C, 3.61, Khá
7, Quảng Ninh, 2022-11-19, 10:11, 28°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 3.08 km/giờ, 19 °C, 4.32, Kém
8, Bắc Giang, 2022-11-19, 10:11, 27°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.37 km/giờ, 21 °C, 4.62, Kém
9, Phú Thọ, 2022-11-19, 10:11, 26°, Nhiều mây, 21°, 29°, 29°, 10 km, 2.47 km/giờ, 22 °C, 1.26, Rất kém
10, Lào Cai, 2022-11-19, 10:11, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 0.9 km/giờ, 23 °C, 0, Trung bình
11, Điện Biên, 2022-11-19, 10:11, 24°, Nhiều mây, 18°, 28°, 28°, 10 km, 0.87 km/giờ, 21 °C, 2.1, Tốt
12, Lai Châu, 2022-11-19, 10:11, 26°, Mây cụm, 19°, 29°, 29°, 10 km, 0.63 km/giờ, 22 °C, 0, Tốt
13, Sơn La, 2022-11-19, 10:11, 24°, Nhiều mây, 17°, 26°, 26°, 10 km, 1.31 km/giờ, 20 °C, 2.44, Khá
14, Yên Bái, 2022-11-19, 10:11, 25°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.13 km/giờ, 23 °C, 0.42, Rất kém
15, Hoà Bình, 2022-11-19, 10:11, 27°, Mây cụm, 21°, 28°, 28°, 10 km, 1.8 km/giờ, 23 °C, 0, Rất kém
16, Hà Nội, 2022-11-19, 10:11, 27°, Mây cụm, 22°, 30°, 30°, 6 km, 3.6 km/giờ, 23 °C, 4.65, Rất kém
17, Vĩnh Phúc, 2022-11-19, 10:11, 27°, Nhiều mây, 22°, 30°, 30°, 10 km, 3.27 km/giờ, 22 °C, 4.65, Rất kém
18, Bắc Ninh, 2022-11-19, 10:11, 27°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.21 km/giờ, 20 °C, 0, Rất kém
19, Hải Dương, 2022-11-19, 10:11, 29°, Mây cụm, 22°, 30°, 30°, 10 km, 3.71 km/giờ, 20 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 10:11, 29°, Mây thưa, 22°, 30°, 30°, 10 km, 4.12 km/giờ, 22 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 10:11, 29°, Mây cụm, 22°, 30°, 30°, 10 km, 3.8 km/giờ, 20 °C, 0, Rất kém
22, Thái Bình, 2022-11-19, 10:11, 28°, Mây cụm, 23°, 29°, 29°, 10 km, 5.78 km/giờ, 21 °C, 0, Kém
23, Hà Nam, 2022-11-19, 10:11, 29°, Mây cụm, 22°, 30°, 30°, 10 km, 3.49 km/giờ, 21 °C, 3.61, Rất kém
24, Nam Định, 2022-11-19, 10:11, 29°, Mây rải rác, 23°, 30°, 30°, 10 km, 4.8 km/giờ, 21 °C, 4.33, Rất kém
25, Ninh Bình, 2022-11-19, 10:11, 28°, Mây cụm, 23°, 29°, 29°, 10 km, 4.28 km/giờ, 21 °C, 4.51, Rất kém
26, Thanh Hóa, 2022-11-19, 10:11, 27°, Nhiều mây, 22°, 28°, 28°, 10 km, 3.34 km/giờ, 22 °C, 0, Rất kém
27, Nghệ An, 2022-11-19, 10:11, 27°, Nhiều mây, 23°, 28°, 28°, 10 km, 2.67 km/giờ, 22 °C, 4.17, Kém
28, Hà Tĩnh, 2022-11-19, 10:11, 27°, Nhiều mây, 23°, 28°, 28°, 10 km, 2.56 km/giờ, 22 °C, 4.42, Kém
29, Quảng Bình, 2022-11-19, 10:11, 27°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.2 km/giờ, 23 °C, 0, Trung bình
30, Quảng Trị, 2022-11-19, 10:11, 28°, Nhiều mây, 23°, 29°, 29°, 10 km, 1.98 km/giờ, 21 °C, 5.51, Khá
31, Thừa Thiên Huế, 2022-11-19, 10:11, 28°, Mây cụm, 23°, 28°, 28°, 10 km, 1.54 km/giờ, 24 °C, 5.53, Trung bình
32, Đà Nẵng, 2022-11-19, 10:11, 28°, Mây rải rác, 24°, 28°, 28°, 10 km, 5.14 km/giờ, 24 °C, 4.93, Khá
33, Quảng Nam, 2022-11-19, 10:11, 27°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.69 km/giờ, 22 °C, 4.15, Tốt
34, Quảng Ngãi, 2022-11-19, 10:11, 27°, Nhiều mây, 23°, 27°, 27°, 10 km, 4.55 km/giờ, 22 °C, 5.51, Tốt
35, Bình Định, 2022-11-19, 10:11, 24°, Mưa vừa, 23°, 26°, 26°, 4.45 km, 6.33 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-19, 10:11, 22°, Nhiều mây, 21°, 23°, 23°, 10 km, 2.44 km/giờ, 21 °C, 1.16, Tốt
37, Khánh Hòa, 2022-11-19, 10:11, 25°, Nhiều mây, 22°, 26°, 26°, 2.78 km, 1.9 km/giờ, 25 °C, 0.66, Tốt
38, Ninh Thuận, 2022-11-19, 10:11, 23°, Nhiều mây, 22°, 26°, 26°, 3.18 km, 3.17 km/giờ, 23 °C, 0, Khá
39, Bình Thuận, 2022-11-19, 10:11, 24°, Mưa nhẹ, 21°, 27°, 27°, 10 km, 0.54 km/giờ, 21 °C, 1.1, Tốt
40, Kon Tum, 2022-11-19, 10:11, 26°, Nhiều mây, 19°, 27°, 27°, 10 km, 2.33 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 10:11, 22°, Nhiều mây, 19°, 25°, 25°, 10 km, 1.93 km/giờ, 20 °C, 3.47, Tốt
42, Đắk Lắk, 2022-11-19, 10:11, 21°, Nhiều mây, 19°, 22°, 22°, 10 km, 1.84 km/giờ, 20 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 10:11, 21°, Nhiều mây, 19°, 22°, 22°, 10 km, 1.84 km/giờ, 20 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 10:11, 20°, Nhiều mây, 18°, 22°, 22°, 10 km, 0.98 km/giờ, 18 °C, 0, Tốt
45, Bình Phước, 2022-11-19, 10:11, 27°, Mưa vừa, 20°, 27°, 27°, 10 km, 2.48 km/giờ, 20 °C, 0, Tốt
