1, Hà Giang, 2022-11-19, 12:05, 23°, Nhiều mây, 20°, 27°, 27°, 10 km, 1.12 km/giờ, 22 °C, 0, Khá
2, Cao Bằng, 2022-11-19, 12:05, 23°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.17 km/giờ, 22 °C, 2.93, Khá
3, Bắc Kạn, 2022-11-19, 12:05, 26°, Mây cụm, 20°, 28°, 28°, 8.24 km, 0.47 km/giờ, 23 °C, 0, Khá
4, Tuyên Quang, 2022-11-19, 12:05, 25°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.53 km/giờ, 23 °C, 0, Khá
5, Thái Nguyên, 2022-11-19, 12:05, 28°, Mây cụm, 20°, 30°, 30°, 10 km, 1.76 km/giờ, 20 °C, 0, Kém
6, Lạng Sơn, 2022-11-19, 12:05, 28°, Nhiều mây, 18°, 30°, 30°, 10 km, 1.72 km/giờ, 20 °C, 0, Trung bình
7, Quảng Ninh, 2022-11-19, 12:05, 29°, Mây thưa, 20°, 29°, 29°, 10 km, 4.21 km/giờ, 19 °C, 6.2, Khá
8, Bắc Giang, 2022-11-19, 12:05, 28°, Nhiều mây, 21°, 30°, 30°, 10 km, 2.44 km/giờ, 20 °C, 0, Kém
9, Phú Thọ, 2022-11-19, 12:05, 29°, Nhiều mây, 21°, 29°, 29°, 10 km, 3.08 km/giờ, 22 °C, 5.35, Rất kém
10, Lào Cai, 2022-11-19, 12:05, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.32 km/giờ, 23 °C, 7.16, Khá
11, Điện Biên, 2022-11-19, 12:05, 28°, Mây cụm, 18°, 29°, 29°, 10 km, 1.05 km/giờ, 20 °C, 7.13, Tốt
12, Lai Châu, 2022-11-19, 12:05, 29°, Mây cụm, 19°, 29°, 29°, 10 km, 0.91 km/giờ, 22 °C, 7.2, Tốt
13, Sơn La, 2022-11-19, 12:05, 26°, Nhiều mây, 17°, 26°, 26°, 10 km, 0.8 km/giờ, 20 °C, 0, Tốt
14, Yên Bái, 2022-11-19, 12:05, 26°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.32 km/giờ, 23 °C, 0, Kém
15, Hoà Bình, 2022-11-19, 12:05, 28°, Mây cụm, 21°, 28°, 28°, 10 km, 2.14 km/giờ, 23 °C, 0, Rất kém
16, Hà Nội, 2022-11-19, 12:05, 28°, Mây cụm, 22°, 30°, 30°, 10 km, 3.6 km/giờ, 23 °C, 7.1, Kém
17, Vĩnh Phúc, 2022-11-19, 12:05, 28°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.8 km/giờ, 20 °C, 0, Rất kém
18, Bắc Ninh, 2022-11-19, 12:05, 28°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.59 km/giờ, 19 °C, 0, Kém
19, Hải Dương, 2022-11-19, 12:05, 30°, Mây cụm, 22°, 30°, 30°, 10 km, 2.92 km/giờ, 19 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 12:05, 30°, Mây thưa, 22°, 30°, 30°, 10 km, 3.6 km/giờ, 21 °C, 5.99, Trung bình
21, Hưng Yên, 2022-11-19, 12:05, 30°, Mây cụm, 22°, 30°, 30°, 10 km, 4.31 km/giờ, 19 °C, 0, Kém
22, Thái Bình, 2022-11-19, 12:05, 29°, Mây cụm, 23°, 29°, 29°, 10 km, 6.2 km/giờ, 21 °C, 0, Kém
23, Hà Nam, 2022-11-19, 12:05, 30°, Nhiều mây, 22°, 30°, 30°, 10 km, 4.04 km/giờ, 20 °C, 0, Kém
24, Nam Định, 2022-11-19, 12:05, 29°, Mây cụm, 23°, 30°, 30°, 10 km, 5.57 km/giờ, 20 °C, 0, Kém
25, Ninh Bình, 2022-11-19, 12:05, 29°, Mây cụm, 23°, 29°, 29°, 10 km, 5.16 km/giờ, 21 °C, 5.31, Kém
26, Thanh Hóa, 2022-11-19, 12:05, 28°, Nhiều mây, 22°, 28°, 28°, 10 km, 5.09 km/giờ, 22 °C, 5.6, Kém
27, Nghệ An, 2022-11-19, 12:05, 28°, Nhiều mây, 23°, 28°, 28°, 10 km, 4.14 km/giờ, 22 °C, 0, Kém
28, Hà Tĩnh, 2022-11-19, 12:05, 28°, Nhiều mây, 23°, 28°, 28°, 10 km, 3.77 km/giờ, 23 °C, 0, Kém
29, Quảng Bình, 2022-11-19, 12:05, 27°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.52 km/giờ, 23 °C, 6.49, Kém
30, Quảng Trị, 2022-11-19, 12:05, 29°, Nhiều mây, 23°, 29°, 29°, 10 km, 3.52 km/giờ, 21 °C, 0, Trung bình
31, Thừa Thiên Huế, 2022-11-19, 12:05, 28°, Mây cụm, 23°, 28°, 28°, 10 km, 4.12 km/giờ, 24 °C, 0, Khá
32, Đà Nẵng, 2022-11-19, 12:05, 28°, Mây cụm, 24°, 28°, 28°, 10 km, 5.66 km/giờ, 24 °C, 0, Trung bình
33, Quảng Nam, 2022-11-19, 12:05, 27°, Mưa vừa, 23°, 27°, 27°, 9.07 km, 3.32 km/giờ, 22 °C, 0, Khá
