1, Hà Giang, 2022-11-19, 14:22, 26°, Nhiều mây, 21°, 27°, 27°, 10 km, 1.19 km/giờ, 22 °C, 3.51, Khá
2, Cao Bằng, 2022-11-19, 14:22, 23°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.2 km/giờ, 22 °C, 0, Khá
3, Bắc Kạn, 2022-11-19, 14:22, 25°, Nhiều mây, 19°, 28°, 28°, 9.04 km, 0.86 km/giờ, 23 °C, 0, Khá
4, Tuyên Quang, 2022-11-19, 14:22, 24°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.62 km/giờ, 23 °C, 3.77, Khá
5, Thái Nguyên, 2022-11-19, 14:22, 29°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.72 km/giờ, 21 °C, 0, Khá
6, Lạng Sơn, 2022-11-19, 14:22, 27°, Nhiều mây, 18°, 30°, 30°, 6.56 km, 1.88 km/giờ, 21 °C, 0, Trung bình
7, Quảng Ninh, 2022-11-19, 14:22, 28°, Nhiều mây, 20°, 29°, 29°, 10 km, 4.18 km/giờ, 20 °C, 0, Kém
8, Bắc Giang, 2022-11-19, 14:22, 29°, Nhiều mây, 21°, 30°, 30°, 10 km, 2.63 km/giờ, 18 °C, 0, Trung bình
9, Phú Thọ, 2022-11-19, 14:22, 29°, Nhiều mây, 21°, 29°, 29°, 10 km, 3.16 km/giờ, 21 °C, 0, Kém
10, Lào Cai, 2022-11-19, 14:22, 28°, Mây cụm, 22°, 28°, 28°, 10 km, 1.54 km/giờ, 23 °C, 0, Khá
11, Điện Biên, 2022-11-19, 14:22, 28°, Mây cụm, 18°, 31°, 31°, 10 km, 0.88 km/giờ, 20 °C, 0, Tốt
12, Lai Châu, 2022-11-19, 14:22, 30°, Mây cụm, 19°, 30°, 30°, 10 km, 1.17 km/giờ, 22 °C, 0, Tốt
13, Sơn La, 2022-11-19, 14:22, 26°, Nhiều mây, 17°, 28°, 28°, 10 km, 0.32 km/giờ, 21 °C, 0, Tốt
14, Yên Bái, 2022-11-19, 14:22, 25°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.34 km/giờ, 23 °C, 0, Kém
15, Hoà Bình, 2022-11-19, 14:22, 28°, Nhiều mây, 21°, 29°, 29°, 10 km, 2 km/giờ, 23 °C, 0, Rất kém
16, Hà Nội, 2022-11-19, 14:22, 29°, Mây rải rác, 22°, 30°, 30°, 10 km, 3.09 km/giờ, 22 °C, 0, Kém
17, Vĩnh Phúc, 2022-11-19, 14:22, 29°, Nhiều mây, 22°, 30°, 30°, 10 km, 3.08 km/giờ, 20 °C, 0, Rất kém
18, Bắc Ninh, 2022-11-19, 14:22, 29°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.87 km/giờ, 18 °C, 0, Kém
19, Hải Dương, 2022-11-19, 14:22, 28°, Nhiều mây, 22°, 31°, 31°, 10 km, 5.67 km/giờ, 18 °C, 2, Kém
20, Hải Phòng, 2022-11-19, 14:22, 28°, Mây cụm, 22°, 30°, 30°, 10 km, 5.66 km/giờ, 22 °C, 0, Trung bình
21, Hưng Yên, 2022-11-19, 14:22, 29°, Nhiều mây, 22°, 30°, 30°, 10 km, 5.22 km/giờ, 20 °C, 0, Kém
22, Thái Bình, 2022-11-19, 14:22, 28°, Nhiều mây, 24°, 29°, 29°, 10 km, 6.26 km/giờ, 21 °C, 0, Trung bình
23, Hà Nam, 2022-11-19, 14:22, 29°, Nhiều mây, 22°, 30°, 30°, 10 km, 5.02 km/giờ, 20 °C, 3.16, Kém
24, Nam Định, 2022-11-19, 14:22, 29°, Nhiều mây, 23°, 30°, 30°, 10 km, 5.77 km/giờ, 20 °C, 0, Kém
25, Ninh Bình, 2022-11-19, 14:22, 29°, Nhiều mây, 23°, 30°, 30°, 10 km, 5.21 km/giờ, 21 °C, 0, Kém
26, Thanh Hóa, 2022-11-19, 14:22, 28°, Nhiều mây, 22°, 28°, 28°, 10 km, 4.97 km/giờ, 21 °C, 2.58, Kém
27, Nghệ An, 2022-11-19, 14:22, 28°, Nhiều mây, 23°, 28°, 28°, 10 km, 5.37 km/giờ, 22 °C, 4.3, Kém
