1, Hà Giang, 2022-11-19, 16:45, 23°, Mây cụm, 21°, 27°, 27°, 5.73 km, 1.06 km/giờ, 22 °C, 0.12, Trung bình
2, Cao Bằng, 2022-11-19, 16:45, 23°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.16 km/giờ, 21 °C, 0, Khá
3, Bắc Kạn, 2022-11-19, 16:45, 23°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.39 km/giờ, 23 °C, 0.6, Khá
4, Tuyên Quang, 2022-11-19, 16:45, 23°, Nhiều mây, 20°, 29°, 29°, 8.96 km, 0.61 km/giờ, 22 °C, 0.13, Khá
5, Thái Nguyên, 2022-11-19, 16:45, 29°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.2 km/giờ, 23 °C, 0, Khá
6, Lạng Sơn, 2022-11-19, 16:45, 25°, Nhiều mây, 18°, 30°, 30°, 10 km, 1.57 km/giờ, 21 °C, 0.44, Kém
7, Quảng Ninh, 2022-11-19, 16:45, 24°, Nhiều mây, 20°, 29°, 29°, 10 km, 1.29 km/giờ, 19 °C, 0, Kém
8, Bắc Giang, 2022-11-19, 16:45, 29°, Nhiều mây, 21°, 30°, 30°, 10 km, 4.33 km/giờ, 21 °C, 0, Trung bình
9, Phú Thọ, 2022-11-19, 16:45, 26°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.93 km/giờ, 22 °C, 0, Trung bình
10, Lào Cai, 2022-11-19, 16:45, 25°, Mây cụm, 22°, 28°, 28°, 10 km, 1.03 km/giờ, 23 °C, 0, Khá
11, Điện Biên, 2022-11-19, 16:45, 25°, Mây rải rác, 18°, 31°, 31°, 10 km, 0.99 km/giờ, 21 °C, 0, Tốt
12, Lai Châu, 2022-11-19, 16:45, 25°, Mây rải rác, 19°, 29°, 29°, 10 km, 0.88 km/giờ, 22 °C, 0, Tốt
13, Sơn La, 2022-11-19, 16:45, 23°, Mây cụm, 17°, 28°, 28°, 10 km, 1.03 km/giờ, 21 °C, 0, Tốt
14, Yên Bái, 2022-11-19, 16:45, 25°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.47 km/giờ, 23 °C, 0.15, Khá
15, Hoà Bình, 2022-11-19, 16:45, 26°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.66 km/giờ, 23 °C, 0.86, Rất kém
16, Hà Nội, 2022-11-19, 16:45, 29°, Mây rải rác, 22°, 30°, 30°, 10 km, 3.09 km/giờ, 22 °C, 0.06, Trung bình
17, Vĩnh Phúc, 2022-11-19, 16:45, 29°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.77 km/giờ, 23 °C, 0, Kém
18, Bắc Ninh, 2022-11-19, 16:45, 29°, Nhiều mây, 22°, 30°, 30°, 10 km, 5.67 km/giờ, 20 °C, 0, Kém
19, Hải Dương, 2022-11-19, 16:45, 27°, Nhiều mây, 22°, 31°, 31°, 10 km, 4.82 km/giờ, 19 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 16:45, 27°, Mây thưa, 22°, 30°, 30°, 10 km, 4.12 km/giờ, 23 °C, 0.51, Kém
21, Hưng Yên, 2022-11-19, 16:45, 27°, Nhiều mây, 22°, 30°, 30°, 10 km, 3.89 km/giờ, 20 °C, 0, Kém
22, Thái Bình, 2022-11-19, 16:45, 26°, Nhiều mây, 24°, 29°, 29°, 10 km, 5.06 km/giờ, 21 °C, 0.72, Kém
23, Hà Nam, 2022-11-19, 16:45, 27°, Nhiều mây, 22°, 30°, 30°, 10 km, 3.69 km/giờ, 20 °C, 0.05, Kém
24, Nam Định, 2022-11-19, 16:45, 26°, Nhiều mây, 23°, 30°, 30°, 10 km, 4.32 km/giờ, 21 °C, 0.11, Kém
25, Ninh Bình, 2022-11-19, 16:45, 26°, Nhiều mây, 23°, 30°, 30°, 10 km, 3.56 km/giờ, 21 °C, 0, Kém
26, Thanh Hóa, 2022-11-19, 16:45, 26°, Nhiều mây, 22°, 28°, 28°, 10 km, 3.16 km/giờ, 22 °C, 0.5, Kém
27, Nghệ An, 2022-11-19, 16:45, 26°, Nhiều mây, 23°, 27°, 27°, 10 km, 3.82 km/giờ, 23 °C, 0.16, Trung bình
28, Hà Tĩnh, 2022-11-19, 16:45, 25°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.72 km/giờ, 23 °C, 0.17, Trung bình
29, Quảng Bình, 2022-11-19, 16:45, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 1.12 km/giờ, 23 °C, 0, Kém
30, Quảng Trị, 2022-11-19, 16:45, 25°, Mây cụm, 23°, 27°, 27°, 10 km, 3.05 km/giờ, 22 °C, 0.95, Khá
31, Thừa Thiên Huế, 2022-11-19, 16:45, 26°, Mây cụm, 23°, 26°, 26°, 8 km, 2.57 km/giờ, 25 °C, 0.96, Khá
32, Đà Nẵng, 2022-11-19, 16:45, 26°, Mưa vừa, 24°, 26°, 26°, 8 km, 2.06 km/giờ, 25 °C, 0.12, Khá
33, Quảng Nam, 2022-11-19, 16:45, 23°, Nhiều mây, 23°, 25°, 25°, 10 km, 1.19 km/giờ, 22 °C, 0, Khá
34, Quảng Ngãi, 2022-11-19, 16:45, 24°, Nhiều mây, 23°, 26°, 26°, 10 km, 2.36 km/giờ, 22 °C, 0.02, Tốt
35, Bình Định, 2022-11-19, 16:45, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 4.3 km/giờ, 23 °C, 0.04, Tốt
36, Phú Yên, 2022-11-19, 16:45, 21°, Mưa cường độ nặng, 21°, 24°, 24°, 10 km, 1.38 km/giờ, 21 °C, 0.16, Tốt
37, Khánh Hòa, 2022-11-19, 16:45, 25°, Mưa cường độ nặng, 22°, 28°, 28°, 2.96 km, 2.28 km/giờ, 24 °C, 0, Tốt
38, Ninh Thuận, 2022-11-19, 16:45, 23°, Mưa cường độ nặng, 22°, 28°, 28°, 7.78 km, 3.18 km/giờ, 23 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 16:45, 22°, Mưa cường độ nặng, 21°, 29°, 29°, 10 km, 1.25 km/giờ, 21 °C, 0.18, Tốt
40, Kon Tum, 2022-11-19, 16:45, 21°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.39 km/giờ, 20 °C, 0.16, Tốt
41, Gia Lai, 2022-11-19, 16:45, 21°, Nhiều mây, 20°, 25°, 25°, 10 km, 1.29 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 16:45, 20°, Mưa nhẹ, 19°, 24°, 24°, 10 km, 2.06 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 16:45, 20°, Mưa nhẹ, 19°, 24°, 24°, 10 km, 2.06 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 16:45, 19°, Mưa vừa, 17°, 25°, 25°, 7.43 km, 1.25 km/giờ, 19 °C, 0.02, Tốt
45, Bình Phước, 2022-11-19, 16:45, 22°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.48 km/giờ, 21 °C, 0.02, Tốt
46, Tây Ninh, 2022-11-19, 16:45, 26°, Mưa vừa, 22°, 29°, 29°, 10 km, 6.27 km/giờ, 21 °C, 0, Tốt
47, Bình Dương, 2022-11-19, 16:45, 27°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.06 km/giờ, 25 °C, 0, Tốt
48, Đồng Nai, 2022-11-19, 16:45, 27°, Mưa vừa, 22°, 29°, 29°, 10 km, 3.84 km/giờ, 25 °C, 0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-19, 16:45, 24°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.43 km/giờ, 22 °C, 0, Tốt
50, Hồ Chí Minh, 2022-11-19, 16:45, 27°, Mưa cường độ nặng, 22°, 30°, 30°, 10 km, 2.06 km/giờ, 25 °C, 0.02, Kém
51, Long An, 2022-11-19, 16:45, 25°, Mưa vừa, 22°, 29°, 29°, 10 km, 3.57 km/giờ, 22 °C, 0, Tốt
52, Tiền Giang, 2022-11-19, 16:45, 24°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 2.26 km/giờ, 23 °C, 0, Kém
53, Bến Tre, 2022-11-19, 16:45, 24°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 1.81 km/giờ, 23 °C, 0.07, Kém
54, Trà Vinh, 2022-11-19, 16:45, 24°, Mưa vừa, 22°, 29°, 29°, 10 km, 2.45 km/giờ, 22 °C, 0.03, Rất kém
55, Vĩnh Long, 2022-11-19, 16:45, 27°, Mưa cường độ nặng, 22°, 29°, 29°, 10 km, 3.01 km/giờ, 24 °C, 0, Khá
56, Đồng Tháp, 2022-11-19, 16:45, 27°, Mưa vừa, 22°, 28°, 28°, 10 km, 3.35 km/giờ, 23 °C, 0, Tốt
57, An Giang, 2022-11-19, 16:45, 27°, Mưa vừa, 22°, 28°, 28°, 10 km, 3.33 km/giờ, 23 °C, 0.04, Khá
58, Kiên Giang, 2022-11-19, 16:45, 26°, Nhiều mây, 23°, 28°, 28°, 10 km, 3.52 km/giờ, 24 °C, 0, Khá
59, Cần Thơ, 2022-11-19, 16:45, 27°, Mưa nhẹ, 22°, 29°, 29°, 10 km, 2.06 km/giờ, 23 °C, 0, Trung bình
60, Hậu Giang, 2022-11-19, 16:45, 27°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.25 km/giờ, 25 °C, 0, Kém
61, Sóc Trăng, 2022-11-19, 16:45, 25°, Mưa vừa, 22°, 28°, 28°, 10 km, 1.74 km/giờ, 23 °C, 0.35, Kém
62, Bạc Liêu, 2022-11-19, 16:45, 26°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.96 km/giờ, 24 °C, 0, Rất kém
63, Cà Mau, 2022-11-19, 16:45, 25°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.64 km/giờ, 24 °C, 0.08, Trung bình
