1, Hà Giang, 2022-11-19, 21:12, 21°, Mây cụm, 21°, 26°, 26°, 10 km, 0.31 km/giờ, 21 °C, 0, Khá
2, Cao Bằng, 2022-11-19, 21:12, 21°, Nhiều mây, 19°, 28°, 28°, 10 km, 0.95 km/giờ, 20 °C, 0, Khá
3, Bắc Kạn, 2022-11-19, 21:12, 22°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.11 km/giờ, 22 °C, 0, Khá
4, Tuyên Quang, 2022-11-19, 21:12, 22°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.82 km/giờ, 22 °C, 0, Khá
5, Thái Nguyên, 2022-11-19, 21:12, 26°, Nhiều mây, 21°, 30°, 30°, 10 km, 0.7 km/giờ, 23 °C, 0, Trung bình
6, Lạng Sơn, 2022-11-19, 21:12, 21°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.86 km/giờ, 20 °C, 0, Kém
7, Quảng Ninh, 2022-11-19, 21:12, 22°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.8 km/giờ, 19 °C, 0, Kém
8, Bắc Giang, 2022-11-19, 21:12, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 0.96 km/giờ, 19 °C, 0, Kém
9, Phú Thọ, 2022-11-19, 21:12, 24°, Nhiều mây, 21°, 30°, 30°, 10 km, 2.28 km/giờ, 21 °C, 0, Khá
10, Lào Cai, 2022-11-19, 21:12, 22°, Mây cụm, 22°, 28°, 28°, 10 km, 0.54 km/giờ, 22 °C, 0, Tốt
11, Điện Biên, 2022-11-19, 21:12, 21°, Nhiều mây, 18°, 31°, 31°, 10 km, 1.16 km/giờ, 20 °C, 0, Tốt
12, Lai Châu, 2022-11-19, 21:12, 22°, Mây thưa, 19°, 30°, 30°, 10 km, 1.11 km/giờ, 21 °C, 0, Tốt
13, Sơn La, 2022-11-19, 21:12, 20°, Nhiều mây, 17°, 28°, 28°, 10 km, 1.51 km/giờ, 20 °C, 0, Khá
14, Yên Bái, 2022-11-19, 21:12, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.28 km/giờ, 22 °C, 0, Khá
15, Hoà Bình, 2022-11-19, 21:12, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.64 km/giờ, 22 °C, 0, Kém
16, Hà Nội, 2022-11-19, 21:12, 26°, Mây cụm, 23°, 30°, 30°, 10 km, 2.57 km/giờ, 22 °C, 0, Kém
17, Vĩnh Phúc, 2022-11-19, 21:12, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.34 km/giờ, 22 °C, 0, Trung bình
18, Bắc Ninh, 2022-11-19, 21:12, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 2.06 km/giờ, 19 °C, 0, Kém
19, Hải Dương, 2022-11-19, 21:12, 25°, Nhiều mây, 22°, 31°, 31°, 10 km, 1.67 km/giờ, 19 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 21:12, 25°, Bầu trời quang đãng, 22°, 30°, 30°, 10 km, 2.57 km/giờ, 22 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 21:12, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.68 km/giờ, 21 °C, 0, Kém
22, Thái Bình, 2022-11-19, 21:12, 25°, Nhiều mây, 24°, 29°, 29°, 10 km, 1.65 km/giờ, 21 °C, 0, Rất kém
23, Hà Nam, 2022-11-19, 21:12, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.84 km/giờ, 21 °C, 0, Kém
24, Nam Định, 2022-11-19, 21:12, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.7 km/giờ, 21 °C, 0, Rất kém
25, Ninh Bình, 2022-11-19, 21:12, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.14 km/giờ, 21 °C, 0, Kém
26, Thanh Hóa, 2022-11-19, 21:12, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 0.71 km/giờ, 22 °C, 0, Kém
27, Nghệ An, 2022-11-19, 21:12, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.09 km/giờ, 22 °C, 0, Kém
28, Hà Tĩnh, 2022-11-19, 21:12, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.07 km/giờ, 22 °C, 0, Khá
29, Quảng Bình, 2022-11-19, 21:12, 23°, Nhiều mây, 23°, 27°, 27°, 10 km, 1.21 km/giờ, 22 °C, 0, Khá
30, Quảng Trị, 2022-11-19, 21:12, 24°, Mưa nhẹ, 24°, 27°, 27°, 10 km, 2.48 km/giờ, 22 °C, 0, Trung bình
31, Thừa Thiên Huế, 2022-11-19, 21:12, 27°, Mây cụm, 23°, 27°, 27°, 10 km, 3.6 km/giờ, 25 °C, 0, Khá
32, Đà Nẵng, 2022-11-19, 21:12, 27°, Mây rải rác, 24°, 27°, 27°, 10 km, 3.6 km/giờ, 24 °C, 0, Trung bình
33, Quảng Nam, 2022-11-19, 21:12, 24°, Nhiều mây, 23°, 24°, 24°, 10 km, 1.37 km/giờ, 22 °C, 0, Khá
34, Quảng Ngãi, 2022-11-19, 21:12, 23°, Nhiều mây, 23°, 25°, 25°, 10 km, 2.18 km/giờ, 22 °C, 0, Khá
35, Bình Định, 2022-11-19, 21:12, 24°, Nhiều mây, 23°, 27°, 27°, 7.03 km, 3.89 km/giờ, 22 °C, 0, Tốt
36, Phú Yên, 2022-11-19, 21:12, 21°, Nhiều mây, 21°, 26°, 26°, 9.86 km, 2.19 km/giờ, 21 °C, 0, Tốt
37, Khánh Hòa, 2022-11-19, 21:12, 24°, Mưa vừa, 22°, 28°, 28°, 4.27 km, 2.9 km/giờ, 23 °C, 0, Tốt
38, Ninh Thuận, 2022-11-19, 21:12, 23°, Mưa cường độ nặng, 22°, 28°, 28°, 9.08 km, 6.4 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 21:12, 22°, Mưa vừa, 21°, 26°, 26°, 10 km, 1.01 km/giờ, 21 °C, 0, Tốt
40, Kon Tum, 2022-11-19, 21:12, 21°, Mưa cường độ nặng, 19°, 25°, 25°, 10 km, 1.55 km/giờ, 19 °C, 0, Tốt
41, Gia Lai, 2022-11-19, 21:12, 20°, Nhiều mây, 20°, 26°, 26°, 10 km, 1.41 km/giờ, 20 °C, 0, Tốt
42, Đắk Lắk, 2022-11-19, 21:12, 20°, Mưa vừa, 19°, 26°, 26°, 10 km, 2.93 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 21:12, 20°, Mưa vừa, 19°, 26°, 26°, 10 km, 2.93 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 21:12, 18°, Nhiều mây, 17°, 23°, 23°, 10 km, 2.82 km/giờ, 18 °C, 0, Tốt
