1, Hà Giang, 2022-11-20, 20:13, 21, Nhiều mây, 21, 30, 0.98, 10.0, 0.65, 21, 0.0, Kém
2, Cao Bằng, 2022-11-20, 20:13, 20, Nhiều mây, 19, 29, 0.95, 10.0, 0.73, 19, 0.0, Kém
3, Bắc Kạn, 2022-11-20, 20:13, 22, Nhiều mây, 19, 30, 0.91, 10.0, 0.66, 20, 0.0, Kém
4, Tuyên Quang, 2022-11-20, 20:13, 23, Nhiều mây, 20, 31, 0.93, 10.0, 0.56, 21, 0.0, Kém
5, Thái Nguyên, 2022-11-20, 20:13, 25, Mây cụm, 21, 31, 0.76, 10.0, 1.47, 20, 0.0, Rất kém
6, Lạng Sơn, 2022-11-20, 20:13, 21, Bầu trời quang đãng, 19, 28, 0.86, 10.0, 0.19, 19, 0.0, Rất kém
7, Quảng Ninh, 2022-11-20, 20:13, 22, Mây thưa, 21, 27, 0.86, 10.0, 0.64, 19, 0.0, Rất kém
8, Bắc Giang, 2022-11-20, 20:13, 25, Mây rải rác, 21, 31, 0.71, 10.0, 3.29, 19, 0.0, Rất kém
9, Phú Thọ, 2022-11-20, 20:13, 24, Mây cụm, 21, 31, 0.77, 10.0, 1.29, 20, 0.0, Rất kém
10, Lào Cai, 2022-11-20, 20:13, 23, Nhiều mây, 22, 30, 0.95, 10.0, 0.76, 22, 0.0, Khá
11, Điện Biên, 2022-11-20, 20:13, 22, Nhiều mây, 18, 32, 0.88, 10.0, 1.11, 20, 0.0, Khá
12, Lai Châu, 2022-11-20, 20:13, 22, Mây cụm, 20, 31, 0.93, 10.0, 0.85, 21, 0.0, Tốt
13, Sơn La, 2022-11-20, 20:13, 20, Mây rải rác, 17, 28, 0.9, 10.0, 1.05, 18, 0.0, Khá
14, Yên Bái, 2022-11-20, 20:13, 24, Mây cụm, 21, 29, 0.85, 10.0, 1.21, 21, 0.0, Rất kém
15, Hoà Bình, 2022-11-20, 20:13, 24, Mây cụm, 21, 30, 0.84, 10.0, 1.95, 21, 0.0, Rất kém
16, Hà Nội, 2022-11-20, 20:13, 25, Mây thưa, 22, 31, 0.78, 10.0, 1.03, 21, 0.0, Rất kém
17, Vĩnh Phúc, 2022-11-20, 20:13, 26, Mây cụm, 22, 31, 0.7, 10.0, 2.67, 19, 0.0, Rất kém
18, Bắc Ninh, 2022-11-20, 20:13, 25, Mây cụm, 22, 32, 0.69, 10.0, 3.82, 19, 0.0, Rất kém
19, Hải Dương, 2022-11-20, 20:13, 26, Mây rải rác, 22, 32, 0.77, 10.0, 2.36, 22, 0.0, Rất kém
20, Hải Phòng, 2022-11-20, 20:13, 26, Bầu trời quang đãng, 22, 30, 0.69, 10.0, 1.54, 20, 0.0, Rất kém
21, Hưng Yên, 2022-11-20, 20:13, 24, Nhiều mây, 22, 31, 0.79, 10.0, 1.93, 20, 0.0, Rất kém
22, Thái Bình, 2022-11-20, 20:13, 25, Nhiều mây, 23, 30, 0.78, 10.0, 2.28, 21, 0.0, Rất kém
23, Hà Nam, 2022-11-20, 20:13, 24, Nhiều mây, 22, 31, 0.8, 10.0, 2.03, 20, 0.0, Rất kém
24, Nam Định, 2022-11-20, 20:13, 25, Nhiều mây, 23, 31, 0.8, 10.0, 1.76, 21, 0.0, Rất kém
25, Ninh Bình, 2022-11-20, 20:13, 24, Nhiều mây, 22, 31, 0.83, 10.0, 1.33, 21, 0.0, Rất kém
26, Thanh Hóa, 2022-11-20, 20:13, 23, Mây rải rác, 22, 29, 0.88, 10.0, 0.59, 21, 0.0, Rất kém
27, Nghệ An, 2022-11-20, 20:13, 25, Nhiều mây, 23, 27, 0.83, 10.0, 2.12, 21, 0.0, Rất kém
28, Hà Tĩnh, 2022-11-20, 20:13, 24, Nhiều mây, 23, 26, 0.89, 10.0, 2.16, 22, 0.0, Rất kém
29, Quảng Bình, 2022-11-20, 20:13, 23, Mây cụm, 22, 25, 0.96, 10.0, 1.05, 22, 0.0, Rất kém
30, Quảng Trị, 2022-11-20, 20:13, 23, Nhiều mây, 23, 27, 0.92, 10.0, 2.52, 22, 0.0, Trung bình
31, Thừa Thiên Huế, 2022-11-20, 20:13, 27, Mây cụm, 23, 27, 0.83, 10.0, 4.63, 24, 0.0, Khá
32, Đà Nẵng, 2022-11-20, 20:13, 27, Mây cụm, 24, 27, 0.78, 10.0, 4.63, 23, 0.0, Khá
33, Quảng Nam, 2022-11-20, 20:13, 24, Nhiều mây, 23, 27, 0.91, 10.0, 0.93, 22, 0.0, Khá
34, Quảng Ngãi, 2022-11-20, 20:13, 23, Mưa vừa, 23, 28, 0.94, 10.0, 1.7, 22, 0.0, Khá
35, Bình Định, 2022-11-20, 20:13, 23, Mưa vừa, 23, 27, 0.97, 2.53, 5.24, 23, 0.0, Tốt
36, Phú Yên, 2022-11-20, 20:13, 21, Mưa nhẹ, 21, 26, 0.99, 7.67, 0.81, 21, 0.0, Tốt
37, Khánh Hòa, 2022-11-20, 20:13, 24, Mưa nhẹ, 23, 26, 0.96, 10.0, 1.87, 23, 0.0, Tốt
38, Ninh Thuận, 2022-11-20, 20:13, 24, Mưa nhẹ, 23, 28, 0.93, 10.0, 2.37, 23, 0.0, Tốt
39, Bình Thuận, 2022-11-20, 20:13, 22, Nhiều mây, 22, 28, 0.93, 10.0, 1.4, 21, 0.0, Tốt
40, Kon Tum, 2022-11-20, 20:13, 20, Mưa vừa, 19, 29, 0.97, 10.0, 1.16, 19, 0.0, Tốt
41, Gia Lai, 2022-11-20, 20:13, 20, Mưa nhẹ, 20, 26, 0.98, 7.76, 1.98, 20, 0.0, Tốt
42, Đắk Lắk, 2022-11-20, 20:13, 20, Mưa nhẹ, 19, 27, 0.98, 10.0, 1.86, 19, 0.0, Tốt
43, Đắk Nông, 2022-11-20, 20:13, 20, Mưa nhẹ, 19, 27, 0.98, 10.0, 1.86, 19, 0.0, Tốt
44, Lâm Đồng, 2022-11-20, 20:13, 19, Nhiều mây, 18, 24, 0.98, 10.0, 1.45, 19, 0.0, Tốt
45, Bình Phước, 2022-11-20, 20:13, 22, Mưa nhẹ, 21, 28, 0.93, 10.0, 1.12, 21, 0.0, Tốt
46, Tây Ninh, 2022-11-20, 20:13, 23, Mưa cường độ nặng, 22, 29, 0.95, 10.0, 3.69, 23, 0.0, Tốt
47, Bình Dương, 2022-11-20, 20:13, 26, Mây cụm, 22, 28, 1.0, 10.0, 1.54, 26, 0.0, Tốt
48, Đồng Nai, 2022-11-20, 20:13, 26, Nhiều mây, 23, 28, 0.96, 10.0, 2.07, 25, 0.0, Khá
49, Bà Rịa - Vũng Tàu, 2022-11-20, 20:13, 23, Nhiều mây, 22, 28, 0.95, 10.0, 1.73, 22, 0.0, Khá
50, Hồ Chí Minh, 2022-11-20, 20:13, 26, Mây cụm, 23, 27, 1.0, 10.0, 1.54, 26, 0.0, Rất kém
51, Long An, 2022-11-20, 20:13, 24, Mưa nhẹ, 22, 27, 0.96, 10.0, 2.58, 23, 0.0, Tốt
52, Tiền Giang, 2022-11-20, 20:13, 23, Mưa nhẹ, 22, 28, 0.98, 10.0, 2.01, 23, 0.0, Tốt
53, Bến Tre, 2022-11-20, 20:13, 23, Mưa nhẹ, 22, 29, 0.98, 10.0, 1.95, 23, 0.0, Tốt
54, Trà Vinh, 2022-11-20, 20:13, 23, Mưa vừa, 23, 29, 0.96, 10.0, 2.93, 22, 0.0, Khá
55, Vĩnh Long, 2022-11-20, 20:13, 23, Mưa nhẹ, 23, 28, 0.96, 10.0, 2.37, 23, 0.0, Tốt
56, Đồng Tháp, 2022-11-20, 20:13, 24, Mưa nhẹ, 23, 28, 0.92, 10.0, 4.0, 23, 0.0, Tốt
57, An Giang, 2022-11-20, 20:13, 24, Mưa nhẹ, 23, 27, 0.92, 10.0, 4.06, 24, 0.0, Khá
58, Kiên Giang, 2022-11-20, 20:13, 24, Mưa nhẹ, 23, 27, 0.93, 10.0, 4.12, 23, 0.0, Tốt
59, Cần Thơ, 2022-11-20, 20:13, 24, Mưa nhẹ, 23, 27, 0.96, 10.0, 2.43, 24, 0.0, Khá
60, Hậu Giang, 2022-11-20, 20:13, 23, Mưa nhẹ, 23, 27, 0.97, 10.0, 3.19, 24, 0.0, Khá
61, Sóc Trăng, 2022-11-20, 20:13, 23, Mưa vừa, 23, 28, 0.97, 10.0, 2.94, 22, 0.0, Khá
62, Bạc Liêu, 2022-11-20, 20:13, 23, Mưa vừa, 23, 26, 0.96, 10.0, 4.09, 23, 0.0, Khá
63, Cà Mau, 2022-11-20, 20:13, 23, Mưa vừa, 23, 28, 0.97, 10.0, 2.4, 23, 0.0, Khá
