1, Hà Giang, 2022-11-20, 10:12, 23°, Nhiều mây, 20°, 27°, 27°, 10 km, 1.12 km/giờ, 22 °C, 0, Trung bình
2, Cao Bằng, 2022-11-20, 10:12, 21°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.6 km/giờ, 20 °C, 0, Kém
3, Bắc Kạn, 2022-11-20, 10:12, 22°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.87 km/giờ, 21 °C, 0.43, Kém
4, Tuyên Quang, 2022-11-20, 10:12, 24°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.74 km/giờ, 22 °C, 1.74, Khá
5, Thái Nguyên, 2022-11-20, 10:12, 25°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.18 km/giờ, 19 °C, 1.99, Kém
6, Lạng Sơn, 2022-11-20, 10:12, 24°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.87 km/giờ, 19 °C, 2.47, Kém
7, Quảng Ninh, 2022-11-20, 10:12, 27°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.96 km/giờ, 20 °C, 5.08, Rất kém
8, Bắc Giang, 2022-11-20, 10:12, 25°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.52 km/giờ, 18 °C, 0, Kém
9, Phú Thọ, 2022-11-20, 10:12, 26°, Nhiều mây, 21°, 29°, 29°, 10 km, 2.34 km/giờ, 21 °C, 0, Kém
10, Lào Cai, 2022-11-20, 10:12, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 0.58 km/giờ, 22 °C, 4.21, Tốt
11, Điện Biên, 2022-11-20, 10:12, 24°, Nhiều mây, 18°, 31°, 31°, 10 km, 1.12 km/giờ, 21 °C, 3.77, Khá
12, Lai Châu, 2022-11-20, 10:12, 26°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.89 km/giờ, 22 °C, 0, Tốt
13, Sơn La, 2022-11-20, 10:12, 24°, Nhiều mây, 17°, 27°, 27°, 10 km, 1.63 km/giờ, 18 °C, 4.47, Kém
14, Yên Bái, 2022-11-20, 10:12, 26°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.86 km/giờ, 22 °C, 3.78, Trung bình
15, Hoà Bình, 2022-11-20, 10:12, 26°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.4 km/giờ, 22 °C, 0, Rất kém
16, Hà Nội, 2022-11-20, 10:12, 25°, Mây thưa, 22°, 30°, 30°, 10 km, 3.09 km/giờ, 20 °C, 0, Rất kém
17, Vĩnh Phúc, 2022-11-20, 10:12, 25°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.71 km/giờ, 19 °C, 0, Kém
18, Bắc Ninh, 2022-11-20, 10:12, 25°, Mây cụm, 22°, 30°, 30°, 10 km, 2.33 km/giờ, 18 °C, 0, Rất kém
19, Hải Dương, 2022-11-20, 10:12, 28°, Mây cụm, 22°, 30°, 30°, 10 km, 1.31 km/giờ, 20 °C, 4.79, Rất kém
