1, Hà Giang, 2022-11-20, 11:04, 23°, Nhiều mây, 20°, 27°, 27°, 10 km, 1.29 km/giờ, 22 °C, 4.38, Trung bình
2, Cao Bằng, 2022-11-20, 11:04, 21°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.47 km/giờ, 19 °C, 0.68, Kém
3, Bắc Kạn, 2022-11-20, 11:04, 24°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.81 km/giờ, 21 °C, 0, Kém
4, Tuyên Quang, 2022-11-20, 11:04, 25°, Nhiều mây, 20°, 29°, 29°, 8.28 km, 0.74 km/giờ, 23 °C, 0, Khá
5, Thái Nguyên, 2022-11-20, 11:04, 26°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.76 km/giờ, 18 °C, 5.3, Kém
6, Lạng Sơn, 2022-11-20, 11:04, 26°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.48 km/giờ, 19 °C, 0, Kém
7, Quảng Ninh, 2022-11-20, 11:04, 28°, Nhiều mây, 21°, 28°, 28°, 10 km, 2.52 km/giờ, 20 °C, 6.38, Rất kém
8, Bắc Giang, 2022-11-20, 11:04, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.03 km/giờ, 17 °C, 6.26, Rất kém
9, Phú Thọ, 2022-11-20, 11:04, 27°, Nhiều mây, 21°, 29°, 29°, 10 km, 2.32 km/giờ, 21 °C, 5.85, Kém
10, Lào Cai, 2022-11-20, 11:04, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.01 km/giờ, 22 °C, 0, Tốt
11, Điện Biên, 2022-11-20, 11:04, 26°, Nhiều mây, 18°, 31°, 31°, 10 km, 0.99 km/giờ, 20 °C, 0, Khá
12, Lai Châu, 2022-11-20, 11:04, 27°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.33 km/giờ, 22 °C, 0, Tốt
13, Sơn La, 2022-11-20, 11:04, 26°, Nhiều mây, 17°, 27°, 27°, 10 km, 1.73 km/giờ, 18 °C, 0, Trung bình
14, Yên Bái, 2022-11-20, 11:04, 27°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.96 km/giờ, 21 °C, 0, Kém
15, Hoà Bình, 2022-11-20, 11:04, 28°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.98 km/giờ, 22 °C, 5.64, Kém
16, Hà Nội, 2022-11-20, 11:04, 26°, Bầu trời quang đãng, 22°, 30°, 30°, 10 km, 4.12 km/giờ, 20 °C, 6.07, Rất kém
17, Vĩnh Phúc, 2022-11-20, 11:04, 26°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.85 km/giờ, 19 °C, 6.07, Rất kém
18, Bắc Ninh, 2022-11-20, 11:04, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.1 km/giờ, 16 °C, 6.26, Rất kém
19, Hải Dương, 2022-11-20, 11:04, 29°, Mây cụm, 22°, 30°, 30°, 10 km, 1.8 km/giờ, 18 °C, 0, Rất kém
20, Hải Phòng, 2022-11-20, 11:04, 29°, Mây thưa, 22°, 29°, 29°, 10 km, 3.09 km/giờ, 21 °C, 0, Rất kém
21, Hưng Yên, 2022-11-20, 11:04, 29°, Mây cụm, 22°, 30°, 30°, 10 km, 2.57 km/giờ, 20 °C, 5.3, Rất kém
22, Thái Bình, 2022-11-20, 11:04, 28°, Mây cụm, 24°, 29°, 29°, 10 km, 4.73 km/giờ, 20 °C, 0, Rất kém
23, Hà Nam, 2022-11-20, 11:04, 29°, Mây cụm, 22°, 30°, 30°, 10 km, 2.53 km/giờ, 20 °C, 0, Rất kém
24, Nam Định, 2022-11-20, 11:04, 29°, Mây cụm, 23°, 29°, 29°, 10 km, 3.89 km/giờ, 20 °C, 0, Rất kém
25, Ninh Bình, 2022-11-20, 11:04, 28°, Mây cụm, 23°, 29°, 29°, 10 km, 4.05 km/giờ, 20 °C, 5.4, Rất kém
26, Thanh Hóa, 2022-11-20, 11:04, 28°, Mây cụm, 22°, 28°, 28°, 10 km, 4.57 km/giờ, 21 °C, 4.94, Rất kém
27, Nghệ An, 2022-11-20, 11:04, 27°, Nhiều mây, 23°, 27°, 27°, 10 km, 4.63 km/giờ, 22 °C, 4.78, Rất kém
28, Hà Tĩnh, 2022-11-20, 11:04, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 3.91 km/giờ, 23 °C, 0, Rất kém
29, Quảng Bình, 2022-11-20, 11:04, 25°, Nhiều mây, 23°, 26°, 26°, 10 km, 1.99 km/giờ, 23 °C, 0, Kém
30, Quảng Trị, 2022-11-20, 11:04, 27°, Nhiều mây, 23°, 27°, 27°, 6.48 km, 5.4 km/giờ, 24 °C, 0, Khá
31, Thừa Thiên Huế, 2022-11-20, 11:04, 28°, Mây rải rác, 23°, 28°, 28°, 10 km, 7.72 km/giờ, 25 °C, 0, Kém
32, Đà Nẵng, 2022-11-20, 11:04, 29°, Mây rải rác, 24°, 29°, 29°, 10 km, 4.12 km/giờ, 24 °C, 7.42, Kém
33, Quảng Nam, 2022-11-20, 11:04, 24°, Nhiều mây, 22°, 27°, 27°, 2.52 km, 2.26 km/giờ, 23 °C, 4.11, Khá
34, Quảng Ngãi, 2022-11-20, 11:04, 24°, Nhiều mây, 22°, 27°, 27°, 10 km, 0.81 km/giờ, 23 °C, 1.17, Khá
35, Bình Định, 2022-11-20, 11:04, 25°, Mưa vừa, 23°, 26°, 26°, 10 km, 6.75 km/giờ, 23 °C, 0, Tốt
36, Phú Yên, 2022-11-20, 11:04, 22°, Mưa vừa, 21°, 26°, 26°, 10 km, 1.63 km/giờ, 22 °C, 0, Tốt
37, Khánh Hòa, 2022-11-20, 11:04, 25°, Mưa vừa, 23°, 27°, 27°, 6.07 km, 2.55 km/giờ, 24 °C, 0.46, Tốt
38, Ninh Thuận, 2022-11-20, 11:04, 22°, Mưa vừa, 22°, 27°, 27°, 0.32 km, 2.65 km/giờ, 22 °C, 0.42, Tốt
39, Bình Thuận, 2022-11-20, 11:04, 23°, Mưa vừa, 22°, 27°, 27°, 10 km, 1.17 km/giờ, 22 °C, 0.92, Tốt
40, Kon Tum, 2022-11-20, 11:04, 22°, Mưa vừa, 19°, 27°, 27°, 10 km, 1.37 km/giờ, 21 °C, 2.79, Tốt
41, Gia Lai, 2022-11-20, 11:04, 21°, Mưa cường độ nặng, 20°, 26°, 26°, 4.31 km, 2.14 km/giờ, 21 °C, 0, Tốt
42, Đắk Lắk, 2022-11-20, 11:04, 22°, Mưa nhẹ, 20°, 27°, 27°, 10 km, 3 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-20, 11:04, 22°, Mưa nhẹ, 20°, 27°, 27°, 10 km, 3 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-20, 11:04, 19°, Mưa vừa, 19°, 23°, 23°, 4.47 km, 0.59 km/giờ, 19 °C, 0.92, Tốt
45, Bình Phước, 2022-11-20, 11:04, 23°, Mưa nhẹ, 21°, 27°, 27°, 9.99 km, 1.72 km/giờ, 22 °C, 0, Tốt
46, Tây Ninh, 2022-11-20, 11:04, 24°, Mưa vừa, 22°, 26°, 26°, 10 km, 3.22 km/giờ, 22 °C, 0, Tốt
47, Bình Dương, 2022-11-20, 11:04, 26°, Mưa vừa, 22°, 26°, 26°, 8 km, 2.06 km/giờ, 25 °C, 2.29, Tốt
48, Đồng Nai, 2022-11-20, 11:04, 26°, Mưa vừa, 22°, 25°, 25°, 10 km, 2.83 km/giờ, 24 °C, 0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-20, 11:04, 23°, Mưa vừa, 22°, 27°, 27°, 10 km, 2.41 km/giờ, 22 °C, 0, Tốt
50, Hồ Chí Minh, 2022-11-20, 11:04, 26°, Mưa vừa, 22°, 25°, 25°, 8 km, 2.06 km/giờ, 25 °C, 2.29, Khá
51, Long An, 2022-11-20, 11:04, 23°, Mưa vừa, 22°, 25°, 25°, 4.96 km, 3.19 km/giờ, 22 °C, 0, Tốt
52, Tiền Giang, 2022-11-20, 11:04, 22°, Mưa vừa, 22°, 26°, 26°, 6.56 km, 2.62 km/giờ, 22 °C, 2.85, Tốt
53, Bến Tre, 2022-11-20, 11:04, 22°, Mưa vừa, 22°, 26°, 26°, 7.53 km, 2.22 km/giờ, 22 °C, 2.85, Tốt
54, Trà Vinh, 2022-11-20, 11:04, 23°, Mưa vừa, 22°, 27°, 27°, 6.76 km, 3.09 km/giờ, 22 °C, 0, Tốt
55, Vĩnh Long, 2022-11-20, 11:04, 25°, Mưa vừa, 22°, 27°, 27°, 9.43 km, 2.82 km/giờ, 23 °C, 4.13, Tốt
56, Đồng Tháp, 2022-11-20, 11:04, 25°, Mưa vừa, 23°, 26°, 26°, 10 km, 5.52 km/giờ, 22 °C, 0, Tốt
57, An Giang, 2022-11-20, 11:04, 25°, Mưa nhẹ, 23°, 25°, 25°, 10 km, 6.32 km/giờ, 20 °C, 6.6, Tốt
58, Kiên Giang, 2022-11-20, 11:04, 26°, Mưa cường độ nặng, 23°, 26°, 26°, 10 km, 5.07 km/giờ, 22 °C, 0, Khá
59, Cần Thơ, 2022-11-20, 11:04, 25°, Mưa nhẹ, 22°, 27°, 27°, 10 km, 3.6 km/giờ, 22 °C, 0, Khá
60, Hậu Giang, 2022-11-20, 11:04, 25°, Mưa cường độ nặng, 22°, 26°, 26°, 10 km, 4.63 km/giờ, 22 °C, 0, Tốt
61, Sóc Trăng, 2022-11-20, 11:04, 23°, Mưa cường độ nặng, 22°, 27°, 27°, 10 km, 3.3 km/giờ, 22 °C, 0, Khá
62, Bạc Liêu, 2022-11-20, 11:04, 24°, Mưa vừa, 23°, 27°, 27°, 10 km, 3.1 km/giờ, 22 °C, 0, Khá
63, Cà Mau, 2022-11-20, 11:04, 27°, Mưa cường độ nặng, 22°, 28°, 28°, 10 km, 3.77 km/giờ, 22 °C, 0, Tốt
